,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,The Lords of Discipline,1983,R,18 Feb 1983,102 min,Thriller,Franc Roddam,"Pat Conroy (novel), Thomas Pope (screenplay), Lloyd Fonvielle (screenplay)","David Keith, Robert Prosky, G.D. Spradlin, Barbara Babcock","Will arrives for his last year at The Carolina Military Institute, in the Deep South USA, in the 1960s. A black student, Pearce, has been accepted, for the first time and Will is asked to keep an eye out for the inevitable racism. The racists come in the form of The Ten, a secret group of the elite students. They want Pearce to leave on his own free will, but are prepared to torture him to make it 'his free will'. Will is forced to help Pearce and he is prepared to risk his own career to do so.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BY2NhZjQ3ZDctOGZlMy00ODQ4LTkxZjgtZDcyMjY2NmRkYWVhXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,6.6,"2,532",tt0085867,movie,10 Aug 2016,"$11,787,127",N/A,N/A,True
1,Max Dugan Returns,1983,PG,25 Mar 1983,98 min,"Comedy, Drama",Herbert Ross,Neil Simon,"Marsha Mason, Jason Robards, Donald Sutherland, Matthew Broderick","Nora is a single mother who lives with her son Michael in a small house. They don't have much money but at least they have each other. Out of the blue comes Nora's father Max Dugan, who left her and her mother when Nora was nine years old. He brings a suitcase with dollar bills and showers her and Michael with gifts, trying to make up for lost time, knowing that he has a fatal heart ailment. The money comes from his shady career in Las Vegas and Nora is dating a police who is very interested in meeting him...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BN2EyMTAyYWEtMzUzNi00YjYzLThmN2MtYmQzYmFlMmU5NWVhXkEyXkFqcGdeQXVyNDI4ODM5MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.6,"3,313",tt0085919,movie,18 Sep 2012,"$17,613,720",Twentieth Century Fox,N/A,True
2,The Ballad of Jack and Rose,2005,R,08 Apr 2005,112 min,Drama,Rebecca Miller,Rebecca Miller,"Camilla Belle, Daniel Day-Lewis, Catherine Keener, Ryan McDonald","Jack lives on the site of his abandoned island commune with his 16-year-old daughter Rose. Jack has sheltered Rose from the influences of the outside world, but now Rose's emerging womanhood poses troubling questions about the days ahead. A man who has lived a life motivated by environmentalism and other altruistic causes, Jack now rages at those who do not share his concerns, like developer Marty Rance, who is building a housing tract on the edge of his property. When Jack invites his girlfriend Kathleen and her sons Rodney and Thaddius to live with them, Rose feels betrayed and the situation quickly becomes precarious. Rose acts out wildly, creating chaos. As everything flies out of control, Jack finds himself trapped in an impossible place and is forced to take action.",English,USA,3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMGNlZjAxYzUtNzUyYS00ZTcwLTg3YjctNjc1MmJlZGY1ZjE0XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.6,"11,149",tt0357110,movie,27 Sep 2016,"$712,275",IFC Productions,N/A,True
3,Mr. Mom,1983,PG,19 Aug 1983,91 min,"Comedy, Drama",Stan Dragoti,John Hughes,"Michael Keaton, Teri Garr, Frederick Koehler, Taliesin Jaffe","Jack and Caroline are a couple making a decent living when Jack suddenly loses his job. They agree that he should stay at home and look after the house while Caroline works. It's just that he's never done it before, and really doesn't have a clue.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUyMzg0MTkwNV5BMl5BanBnXkFtZTgwOTA2NzEyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.6,"21,312",tt0085970,movie,07 Jun 2016,"$64,783,827",Sherwood Productions,N/A,True
4,The Red Sea Diving Resort,2019,TV-MA,31 Jul 2019,129 min,"Drama, History, Thriller",Gideon Raff,Gideon Raff,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams, Masasa Mbangeni",Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,"English, Amharic",Canada,N/A,https://m.media-amazon.com/images/M/MV5BMjZiYWI3MWMtM2NiZi00Y2E0LWI1ODctNmNhMDUyNGMzODkwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,6.6,"25,185",tt4995776,movie,N/A,N/A,N/A,N/A,True
5,Secret Admirer,1985,R,14 Jun 1985,90 min,"Comedy, Romance",David Greenwalt,"Jim Kouf, David Greenwalt","C. Thomas Howell, Lori Loughlin, Kelly Preston, Dee Wallace","On the last day before summer vacations Michael receives a glowing, but anonymous, love-letter. He suspects, or better: hopes, it's from Deborah, the girl he's after since a while, but who dates college students only. However she shows him a cold shoulder again. So his and her best friend Toni advises him to write her an anonymous letter in return. However these letters get in the wrong hands and cause lots of confusion in their families, until it's revealed, who wrote which letter to whom.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU4NTcwNzYyMV5BMl5BanBnXkFtZTcwNDMxMTE3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.6,"6,491",tt0089981,movie,15 Jan 2019,"$8,622,757",N/A,N/A,True
6,"After Dark, My Sweet",1990,R,24 Aug 1990,114 min,"Crime, Drama, Mystery, Thriller",James Foley,"Jim Thompson (novel), Robert Redlin (screenplay), James Foley (screenplay)","Jason Patric, Rocky Giordani, Rachel Ward, Bruce Dern","An ex-boxer is drifting around after escaping from the mental hospital. He meets a widow who convinces him to help fix up the neglected estate her ex-husband left. Her Uncle talks them both into helping kidnap a rich boy for ransom money, and the ex-fighter must make decisions about his loyalties and what is right.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZTJiZjU1MjMtMWIxMC00ZDhkLWE0NDItZGU2NGM2NDYwYmEyXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,6.6,"3,239",tt0098994,movie,17 Aug 2016,"$2,678,414",Avenue Pictures Productions,N/A,True
7,Zu: Warriors from the Magic Mountain,1983,Unrated,N/A,98 min,"Action, Adventure, Fantasy, Horror",Hark Tsui,Cheuk-Hon Szeto,"Adam Cheng, Brigitte Lin, Damian Lau, Sammo Kam-Bo Hung",A Chinese soldier in an ancient civil war flees the battlefield and gets caught up in a fantastical quest to save the world from evil.,Cantonese,Hong Kong,5 nominations.,https://m.media-amazon.com/images/M/MV5BNWRlZGZlNmQtMDhkZC00OTMxLTk2YWYtN2FkZTkyODdiYjg5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,6.6,"2,472",tt0086308,movie,N/A,N/A,Century Pacific,N/A,True
8,Malta Story,1953,APPROVED,05 Aug 1954,97 min,"Drama, History, War",Brian Desmond Hurst,"Thorold Dickinson (idea), Peter De Sarigny (idea), Hugh P. Lloyd (author of ""Briefed to Attack""), William Fairchild (screenplay), Nigel Balchin (screenplay), William Fairchild (story)","Alec Guinness, Jack Hawkins, Anthony Steel, Muriel Pavlow","In 1942 Britain was clinging to the island of Malta since it was critical to keeping Allied supply lines open. The Axis also wanted it for their own supply lines. Plenty of realistic reenactments and archival combat footage as the British are beseiged and try to fight off the Luftwaffe. Against this background, a RAF reconnaissance photographer's romance with a local girl is endangered as he tries to plot enemy movements.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMDM4NzQ3ZTYtN2U2ZC00YzA1LTgwNTctOGNhN2Y4NjJkNDZjXkEyXkFqcGdeQXVyNzQzNDEyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}]",N/A,6.6,"1,536",tt0046029,movie,07 Mar 2019,N/A,British Film-Makers,N/A,True
9,Titan A.E.,2000,PG,16 Jun 2000,94 min,"Animation, Action, Adventure, Family, Sci-Fi","Don Bluth, Gary Goldman","Hans Bauer (story), Randall McCormick (story), Ben Edlund (screenplay), John August (screenplay), Joss Whedon (screenplay)","Drew Barrymore, Jim Breuer, Ken Hudson Campbell, Thomas A. Chantler","In the year 3028 A.D., Earth is being attacked by the Drej, which are aliens made of pure energy! The Drej mother-ship destroys Earth with an energy beam just as hundreds of space vehicles manage to escape with the last of mankind aboard! One of the escapees is Sam's young son Cale, who carries with him a ring given to him by his father. Fifteen years later, Cale works on a salvage station, eking out a rough life and hating his father for having disappeared aboard the Titan so long ago. Without a home planet, surviving humans have been reduced to outer space drifters and are constantly bullied and looked down on by other space-faring races. A human captain named Joseph Korso and his pilot Akima seek out Cale and explain that he must help them find the Titan which contains a mechanism that will create a new Earth and therefore unite all of humanity. Meanwhile, the Drej wants to find the Titan so that they can destroy it. With Korso's help, Cale discovers that the ring his father gave to him contains a genetically encoded map to the Titan, and thus begins his race across the universe with Korso and his ship and crew, including Preed, a wisecracking rat-like humanoid, Gune, an eccentric, green-skinned scientist, and Stith, a tough, hard-as-nails weapons expert who resembles something of a kangaroo. Before long, Cale and Akima finds out that Korso is searching for the Titan in order to hand it over to the Drej.","English, Mandarin",USA,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BYTVkYTAyZDMtYzNmYi00OTkyLTg3M2ItNmE0MDZkNmY3Y2I3XkEyXkFqcGdeQXVyNjU2MDUzMjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.6,"59,092",tt0120913,movie,25 Nov 2015,"$22,753,426","Fox Animation Studios, Twentieth Century Fox, David Kirschner Productions, Blue Sky Studios",N/A,True
