,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,Old Joy,2006,Unrated,26 Jan 2007,76 min,Drama,Kelly Reichardt,"Jonathan Raymond, Kelly Reichardt","Daniel London, Will Oldham, Tanya Smith, Robin Rosenberg",Two old pals reunite for a camping trip in Oregon's Cascade Mountains.,English,USA,5 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BODJhY2EyODgtYjRlMC00NDAzLTg5N2MtZWZmMDE1YTQwODY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,6.8,"6,719",tt0468526,movie,01 May 2007,"$255,923","Film Science, Washingston Square Films, Van Hoy/Knudsen Productions",N/A,True
1,Photographing Fairies,1997,R,19 Sep 1997,106 min,"Drama, Fantasy, Mystery",Nick Willing,"Chris Harrald, Steve Szilagyi (book), Nick Willing","Toby Stephens, Emily Woof, Ben Kingsley, Frances Barber","Photographer Charles Castle is numbed with grief following the death of his beautiful bride. He goes off to war, working in the trenches as a photographer. Following the war and still in grief Charles is given some photographs purporting to be of fairies. His search for the truth leads him to Burkinwell, a seemingly peaceful village seething with secrets where he becomes drawn into a web of passion, romance and violence..",English,UK,5 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwMjYzMzU3Nl5BMl5BanBnXkFtZTcwMzcwNzUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,6.8,"2,629",tt0119893,movie,10 Sep 2015,N/A,N/A,N/A,True
2,Man Up,2015,R,13 Nov 2015,88 min,"Comedy, Drama, Romance",Ben Palmer,Tess Morris,"Lake Bell, Rory Kinnear, Ken Stott, Harriet Walter","A 34 year old single woman, Nancy, hung-over again, exhausted by the endless fruitless set ups by her friends, traveling across London to toast another 10 years of her parent's successful happy magical marriage runs in with a 40 year old divorcee, Jack, who mistakes her for his 24 year old blind date. Nancy, deciding to go with it, happens to hop on the most chaotic yet hilarious journey of her life which neither of them will ever forget. There is drinking, truths, an old stalker class mate with a long standing crush, lost divorce papers, lost hopes, competitive indoor sports and yeah Jack finding out the truth that Nancy isn't his blind date. 'Man Up' a romantic comedy about taking chances, finding about being yourself, making decisions and rolling with the consequences.",English,"UK, France, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTUzODcxNDcxMl5BMl5BanBnXkFtZTgwODE1NjM4NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.8,"49,601",tt3064298,movie,02 Feb 2016,N/A,Big Talk,N/A,True
3,The Element of Crime,1984,Not Rated,14 May 1984,104 min,"Crime, Drama, Thriller",Lars von Trier,"Niels Vørsel, William Quarshie (dialogue translation), Stephen Wakelam (dialogue translation), Lars von Trier","Michael Elphick, Esmond Knight, Me Me Lai, Jerold Wells","Fisher, an ex-cop, returns to his old beat somewhere in northern Europe after a thirteen-year hiatus in Cairo. His former mentor and role model, author of a treatise called ""The Element of Crime"", asks him to solve a series of murders involving lottery ticket sellers. Guided by the theories put forth in the book, Fischer retraces the steps of a suspect, Harry Grey, as recorded in a three-year-old police surveillance report.","English, Arabic",Denmark,12 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjZjZTdjYWYtNmZjNC00MDUzLThiNzMtMzgxYTFmMTk5MGJkXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.8,"9,422",tt0087280,movie,19 Sep 2000,N/A,Per Holst Filmproduktion,N/A,True
4,Dandelion,2004,R,27 Jan 2006,94 min,"Drama, Romance",Mark Milgard,"Mark Milgard, Robbie C. Williamson, Richard Murphy","Vincent Kartheiser, Taryn Manning, Arliss Howard, Mare Winningham","In a small town of rolling fields and endless skies, isolated 16 year old Mason lives in a world where families exist in fragmented silence and love seems to have gone missing. Then Mason meets Danny, a sensitive and troubled girl, and their tender bond is soon tested after a fatal accident and a series of complications takes Mason away for something he didn't do. Upon his return, the two find what they're looking for - but with tragic consequences.",English,USA,3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTY5NTIyNTEwNF5BMl5BanBnXkFtZTcwOTkwNzIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.8,"1,930",tt0338133,movie,18 Apr 2006,N/A,Trimark,N/A,True
5,Fire at Sea,2016,N/A,18 Feb 2016,114 min,Documentary,Gianfranco Rosi,"Gianfranco Rosi, Carla Cattani (idea)","Samuele Pucillo, Mattias Cucina, Samuele Caruana, Pietro Bartolo","Situated some 200km off Italy's southern coast, Lampedusa has hit world headlines in recent years as the first port of call for hundreds of thousands of African and Middle Eastern migrants hoping to make a new life in Europe. Rosi spent months living on the Mediterranean island, capturing its history, culture and the current everyday reality of its 6,000-strong local population as hundreds of migrants land on its shores on a weekly basis. The resulting documentary focuses on 12-year-old Samuele, a local boy who loves to hunt with his slingshot and spend time on land even though he hails from a culture steeped in the sea.","Italian, English","Italy, France",Nominated for 1 Oscar. Another 15 wins & 26 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ5MDYwNDU5OV5BMl5BanBnXkFtZTgwMDg0NTgyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,6.8,"5,507",tt3652526,movie,14 Feb 2017,"$120,933",Rai Cinema,N/A,True
6,High Tension,2003,R,10 Jun 2005,91 min,Horror,Alexandre Aja,"Alexandre Aja, Grégory Levasseur","Cécile de France, Maïwenn, Philippe Nahon, Franck Khalfoun","Alexia travels with her friend Marie to spend a couple of days with her family in their farm in the country. They arrive late and they are welcomed by Alexia's father. Late in the night, a sadistic and sick killer breaks into the farmhouse, slaughters Alexia's family--including their dog--and kidnaps Alexia. Marie hides from the criminal and tries to help the hysterical and frightened Alexia, chase the maniac, and disclose his identity in the end.","French, English, Italian","France, Italy, Romania",6 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BYWVkYTU0ZDItODZmMC00NzY5LTkxZTctNmJiYmJlZmFiODU3XkEyXkFqcGdeQXVyNzkzOTg4MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.8,"68,327",tt0338095,movie,06 Oct 2016,"$3,681,066","EuropaCorp, Alexandre Films",N/A,True
7,The Girl Can't Help It,1956,Approved,01 Dec 1956,99 min,"Comedy, Music",Frank Tashlin,"Frank Tashlin (screenplay), Herbert Baker (screenplay)","Tom Ewell, Jayne Mansfield, Edmond O'Brien, Julie London",A down-and-out gangster hires an alcoholic press agent to make his blonde bombshell girlfriend a recording star in 6 weeks. But what is he going to do when he finds out that she has no talent? And what is going to happen when the two fall in love?,English,USA,Won 1 Golden Globe. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BYzk2ZmQyNzEtODRlOC00MDcyLTk3N2YtMmQ0ODYyZWVmZjRmXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,6.8,"3,081",tt0049263,movie,08 Aug 2006,N/A,20th Century Fox,N/A,True
8,Dolphin Tale,2011,PG,23 Sep 2011,113 min,"Drama, Family",Charles Martin Smith,"Karen Janszen, Noam Dromi","Harry Connick Jr., Ashley Judd, Nathan Gamble, Kris Kristofferson",A lonely and friendless boy finds and untangles a hurt dolphin that is caught in a crab trap. He becomes very attached to the dolphin when the tail must be taken off to save the dolphin's life. The boy believes the dolphin would be able to swim normally if it was given a prosthetic tail.,English,"Canada, USA",4 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTk2NTQwMTU5NF5BMl5BanBnXkFtZTcwNTU0MzE0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.9,"22,670",tt1564349,movie,15 Feb 2014,"$72,286,779",Alcon Entertainment,N/A,True
9,The Sugarland Express,1974,PG,29 May 1974,110 min,"Crime, Drama",Steven Spielberg,"Hal Barwood (screenplay), Matthew Robbins (screenplay), Steven Spielberg (story), Hal Barwood (story), Matthew Robbins (story)","Goldie Hawn, Ben Johnson, Michael Sacks, William Atherton","Lou-Jean, a blonde woman, tells her husband, who is imprisoned, to escape. They plan to kidnap their own child, who was placed with foster parents. The escape is partly successful, they take a hostage, who is a policeman and are pursued through to Texas...",English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BM2ZlOTJmYzUtMWQ1ZC00ZDQzLWFjNDUtMDliMjJiMWI5YjBmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.8,"15,712",tt0072226,movie,01 Jan 2015,"$7,500,000","Universal Pictures, Zanuck/Brown Productions",N/A,True
10,Red Road,2006,Not Rated,27 Oct 2006,113 min,"Drama, Mystery, Thriller",Andrea Arnold,"Andrea Arnold, Lone Scherfig (characters), Anders Thomas Jensen (characters)","Kate Dickie, Tony Curran, Martin Compston, Natalie Press","Whilst working as a CCTV operator in Glasgow's working-class Red Road estate, Jackie sees a face from the past, a face that she thought would no longer haunt her dreams. Keeping her distance, and with the use of her CCTV cameras, she follows the face and the man and she finally decides to confront him. It is here that past lives are once again entwined and reconciliations are aired.",English,"UK, Denmark",22 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMjVmNDlkYjktODA5ZC00ODQxLWE3Y2UtMzk0YTgxNDMyMTM5XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.8,"12,429",tt0471030,movie,28 Aug 2007,"$154,892","Sigma, Zentropa Entertainments",N/A,True
11,Batman: Return of the Caped Crusaders,2016,PG,11 Oct 2016,78 min,"Animation, Action, Adventure, Comedy, Crime, Sci-Fi",Rick Morales,"Michael Jelenic (screenplay by), James Tucker (screenplay by), William Dozier (based on the 1966 Batman series created by), Lorenzo Semple Jr. (television series), Bob Kane (character created by: Batman), Bill Finger (character created by: Batman)","Adam West, Burt Ward, Julie Newmar, Jeff Bergman","Batman and Robin spring into action when Gotham City is threatened by Penguin, The Joker, Riddler and Catwoman. This time, the four super villains have combined their wicked talents to hatch a plot so nefarious that the Dynamic Duo really have their hands full.","English, German",USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BOTdlNjNhOGEtZTk2Yy00MjI5LTllOTMtODczMWFmNmNhZmVlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,6.8,"4,912",tt5973626,movie,09 Apr 2017,N/A,"Warner Bros. Animation, DC Entertainment",N/A,True
12,Paradise Road,1997,R,11 Apr 1997,122 min,"Drama, History, War",Bruce Beresford,"David Giles (story), Martin Meader (story), Bruce Beresford, Betty Jeffrey (diaries)","Glenn Close, Frances McDormand, Pauline Collins, Cate Blanchett","The group of women from different countries and social levels are prisoners in a Japanese POW camp, where one of them, Adrienne, who is a graduate of the Royal Academy of Music, organizes a vocal band in spite of their guards resistance.","English, Japanese, Dutch, Malay","Australia, USA",1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BYWQ4OGI0YjEtOGFhYS00NmY4LTk0YjAtZTlkN2QxMjUyZjkzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.8,"5,154",tt0119859,movie,01 Jun 2013,"$2,007,100",Village Roadshow Entertainment,N/A,True
13,Jeopardy,1953,Passed,01 May 1953,69 min,"Crime, Drama, Film-Noir, Thriller",John Sturges,"Mel Dinelli (screenplay), Maurice Zimm (story)","Barbara Stanwyck, Barry Sullivan, Ralph Meeker, Lee Aaker","The Stilwins are on vacation to an isolated beach in Mexico. Walking on a deserted jetty, Doug Stilwin gets his leg trapped under one of the logs. All attempts to move the log are futile and Helen Stilwin takes the car to get help. However, an escaped criminal kidnaps her. Will she be able to return to her husband before he drowns?","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BZTllNDkwMmUtN2U2OC00MWE1LTk0ZjgtZGZjNjg1MGUyMzJmXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}]",N/A,6.8,"1,811",tt0045932,movie,30 Oct 2007,N/A,Metro-Goldwyn-Mayer,N/A,True
14,Dumplings,2004,Not Rated,19 Aug 2004,91 min,"Drama, Horror",Fruit Chan,Pik-Wah Lee,"Pauline Lau, Tony Ka Fai Leung, Bai Ling, Meme Tian","In Hong Kong, Aunt Mei is a cook famous for her home-made rejuvenation dumplings, based on a millenarian recipe prepared with a mysterious ingredient that she brings directly from China. The former TV star Mrs. Li visits Mei aiming her dumplings to recover her youth and become attractive again to her wolf husband Mr. Li. Along the sessions, Mei tells Mrs. Li that she was a gynecologist in China with more than 30,000 abortions along ten years. When Mrs. Li requests an acceleration of the process, the opportunity comes when a fifteen years old teenager with a five months incestuous pregnancy comes with her mother and asks Mei to make an abortion.","Mandarin, Cantonese",Hong Kong,3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BZWI1NGIyYWYtMDRmZi00OWRhLTg4MDItZjlkNjdjOGYyNjI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}]",N/A,6.8,"8,794",tt0472458,movie,01 Sep 2016,N/A,Fortissimo Film Sales,N/A,True
