,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
0,Miss Jerry,1894,N/A,09 Oct 1894,40 min,"Short, Romance",Alexander Black,Alexander Black,"Blanche Bayliss, William Courtenay, Chauncey Depew",The adventures of a female reporter in the 1890s.,None,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjA5Y2ZhYzctNDc1Yy00OGViLWI3NGUtOTYwZmE3NDFiYmIxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,155,tt0000009,movie,N/A,N/A,N/A,N/A,True,
1,The Story of the Kelly Gang,1906,Not Rated,26 Dec 1906,70 min,"Action, Adventure, Biography, Crime, Drama, History, Thriller, Western",Charles Tait,Charles Tait,"Elizabeth Tait, John Tait, Norman Campbell, Bella Cola",True story of notorious Australian outlaw Ned Kelly (1855-80).,None,Australia,N/A,https://m.media-amazon.com/images/M/MV5BNTY4ZDk5MzYtNjk2Zi00ZWY3LTgwZjUtNDc5MWEzMWFlOTQzXkEyXkFqcGdeQXVyNjU1MTEwMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.1,632,tt0000574,movie,N/A,N/A,N/A,N/A,True,
2,Den sorte drøm,1911,N/A,19 Aug 1911,53 min,Drama,Urban Gad,"Urban Gad (screenplay), Gebhard Schätzler-Perasini (screenplay)","Asta Nielsen, Valdemar Psilander, Gunnar Helsengreen, Emil Albes","Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ...",None,"Germany, Denmark",N/A,https://m.media-amazon.com/images/M/MV5BNWVkNjUyYjUtZGU1Yi00YTM4LTg5ZGEtYmNlNDAzNWRjODM2XkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,191,tt0001892,movie,N/A,N/A,Det Danske Filminstitut,N/A,True,
3,Cleopatra,1912,Unrated,13 Nov 1912,100 min,"Drama, History",Charles L. Gaskill,Victorien Sardou (adapted from the play by),"Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson",The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZTcyMGU4ZmYtYTVmYS00NWFkLWExM2MtYWRlYTlhOWYxNjYwXkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,462,tt0002101,movie,N/A,N/A,N/A,N/A,True,
4,Dante's Inferno,1911,N/A,01 Jul 1911,71 min,"Adventure, Drama, Fantasy, Horror","Francesco Bertolini, Adolfo Padovan, Giuseppe de Liguoro",Dante Alighieri (poem),"Salvatore Papa, Arturo Pirovano, Giuseppe de Liguoro, Pier Delle Vigne",Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav Doré the original silent film has been restored and has a new score by Tangerine Dream.,"None, Italian",Italy,N/A,https://m.media-amazon.com/images/M/MV5BNjU1NDMyNGEtODJkYy00M2Y4LTk5YzItYTYxMzkzZWI1MmJiXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,7.1,"2,437",tt0002130,movie,N/A,N/A,N/A,N/A,True,
5,"From the Manger to the Cross; or, Jesus of Nazareth",1912,TV-PG,N/A,71 min,"Biography, Drama",Sidney Olcott,Gene Gauntier (scenario),"R. Henderson Bland, Percy Dyer, Gene Gauntier, Alice Hollister","An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise...","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZTQ3MDdkMWEtYjJmMS00YmE3LTgxMDktOWUwZjczMTdhNGQ1XkEyXkFqcGdeQXVyODg3Mjk3Mjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",N/A,5.7,511,tt0002199,movie,28 Jul 2016,N/A,Kalem Company,N/A,True,
6,Passion,1919,Not Rated,01 Dec 1920,85 min,"Biography, Drama, Romance",Ernst Lubitsch,"Norbert Falk, Hanns Kräly","Pola Negri, Emil Jannings, Harry Liedtke, Eduard von Winterstein","The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BODIwYTFjYWMtNjZiOC00ZWM0LTkzMTAtOGVjYzE1Y2VlMmZjXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,6.8,779,tt0002423,movie,N/A,N/A,Projektion-AG Union (PAGU) [de],N/A,True,
7,Quo Vadis?,1913,N/A,01 Mar 1913,120 min,"Drama, History",Enrico Guazzoni,"Henryk Sienkiewicz (novel), Enrico Guazzoni","Amleto Novelli, Gustavo Serena, Carlo Cattaneo, Amelia Cattaneo","An epic Italian film ""Quo Vadis"" influenced many of the later movies.","None, Italian",Italy,N/A,https://m.media-amazon.com/images/M/MV5BOTkyNjk5NzA4Nl5BMl5BanBnXkFtZTgwMDY1NjkwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,6.2,300,tt0002445,movie,N/A,N/A,N/A,N/A,True,
8,The Independence of Romania,1912,N/A,01 Sep 1912,120 min,"History, War","Aristide Demetriade, Grigore Brezeanu","Aristide Demetriade (screenplay), Petre Liciu (screenplay), Constantin Nottara (story)","Aristide Demetriade, Constanta Demetriade, Constantin Nottara, Pepi Machauer",The movie depicts the Romanian War of Independence (1877-1878).,"None, Romanian",Romania,N/A,https://m.media-amazon.com/images/M/MV5BOTFlZmRmYzgtZWNlMy00NmQ0LTg0YzktYWFhYzhmZWVkNmVmXkEyXkFqcGdeQXVyMTk3NTc0MTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,210,tt0002452,movie,N/A,N/A,N/A,N/A,True,
9,The Life and Death of King Richard III,1912,N/A,15 Oct 1912,55 min,Drama,"André Calmettes(co-director), James Keane(co-director)","James Keane, William Shakespeare (play)","Robert Gemp, Frederick Warde, Albert Gardner, James Keane",Richard of Gloucester uses manipulation and murder to gain the English throne.,"None, English","France, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTQ1ODY2NTU4OF5BMl5BanBnXkFtZTgwNTc3NjU4MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,5.6,231,tt0002461,movie,N/A,N/A,N/A,N/A,True,
