iter	RMSE
0	24600.64695
1	24007.88861
2	23434.75225
3	22882.58442
4	22394.61039
5	21892.76792
6	21445.28741
7	20987.4748
8	20542.08186
9	20097.92937
10	19725.92155
11	19312.84339
12	18915.14275
13	18504.00647
14	18118.18794
15	17735.10847
16	17382.28946
17	17027.83392
18	16731.38317
19	16408.59141
20	16102.30506
21	15791.56164
22	15496.94413
23	15185.34681
24	14915.86563
25	14657.30262
26	14388.39158
27	14115.02474
28	13875.79409
29	13655.34265
30	13423.24931
31	13205.39809
32	12993.11224
33	12777.73844
34	12579.30634
35	12394.43482
36	12219.798
37	12058.83078
38	11891.12039
39	11727.07722
40	11545.16863
41	11421.94245
42	11277.53791
43	11145.88721
44	11002.17799
45	10880.4719
46	10769.81577
47	10644.78375
48	10529.69645
49	10421.86655
50	10287.79331
51	10172.94962
52	10068.92949
53	9957.255927
54	9858.310057
55	9764.763848
56	9660.537783
57	9563.231883
58	9478.825726
59	9386.186208
60	9311.064901
61	9243.014168
62	9164.171281
63	9099.866635
64	9029.160013
65	8950.023372
66	8876.717016
67	8815.522882
68	8741.435205
69	8680.559927
70	8612.052257
71	8544.93821
72	8477.611516
73	8426.383751
74	8368.113184
75	8301.867747
76	8234.240725
77	8196.370758
78	8162.632103
79	8119.068801
80	8066.380164
81	8011.549882
82	7972.90723
83	7945.655701
84	7913.541878
85	7860.70117
86	7829.387963
87	7780.850437
88	7752.384939
89	7705.515498
90	7665.412178
91	7639.91651
92	7607.593145
93	7583.841648
94	7542.42488
95	7495.701586
96	7459.044476
97	7428.526749
98	7395.613614
99	7354.795847
100	7331.033853
101	7308.390766
102	7287.462688
103	7263.015418
104	7227.399441
105	7195.60824
106	7176.047998
107	7157.950521
108	7134.474375
109	7117.734466
110	7092.9328
111	7066.152155
112	7038.848028
113	7020.121732
114	6997.551588
115	6980.934965
116	6956.241979
117	6932.651026
118	6905.928358
119	6884.119018
120	6869.525173
121	6857.175974
122	6833.957534
123	6823.200983
124	6798.664566
125	6773.897801
126	6753.89198
127	6734.048357
128	6709.990242
129	6686.370467
130	6670.668971
131	6653.924192
132	6627.237126
133	6620.350802
134	6609.433545
135	6592.305759
136	6571.205722
137	6557.748951
138	6549.923341
139	6530.292208
140	6514.094034
141	6492.324177
142	6476.88845
143	6466.351164
144	6446.154496
145	6424.269582
146	6407.137605
147	6396.466003
148	6381.796716
149	6362.733196
150	6352.92767
151	6338.446061
152	6328.982145
153	6315.997355
154	6308.953035
155	6297.877659
156	6288.282782
157	6277.729001
158	6265.965699
159	6260.029715
160	6247.221352
161	6233.505205
162	6221.31926
163	6216.737409
164	6206.509987
165	6195.112631
166	6185.496334
167	6178.006842
168	6173.190385
169	6165.482394
170	6153.449301
171	6144.570464
172	6131.40845
173	6120.489718
174	6107.85076
175	6102.361184
176	6093.087941
177	6084.378673
178	6070.505714
179	6059.268867
180	6046.631163
181	6039.985821
182	6028.105699
183	6016.361738
184	6010.016294
185	5997.254033
186	5985.584236
187	5973.135258
188	5961.843342
189	5954.94214
190	5949.155783
191	5942.99255
192	5930.506831
193	5926.657441
194	5917.241445
195	5906.903458
196	5896.104408
197	5889.871501
198	5882.386291
199	5877.80847
200	5865.98604
201	5852.605518
202	5831.563313
203	5820.949655
204	5811.431175
205	5806.665886
206	5798.799047
207	5785.963844
208	5778.075965
209	5769.191739
210	5758.737964
211	5751.559634
212	5746.438709
213	5737.648843
214	5727.995449
215	5716.902597
216	5710.099447
217	5706.072731
218	5698.318261
219	5695.00516
220	5687.371624
221	5681.979037
222	5677.21372
223	5670.787748
224	5662.255875
225	5656.54641
226	5648.219231
227	5643.59957
228	5634.731088
229	5617.00721
230	5608.641882
231	5603.196674
232	5599.213157
233	5590.974827
234	5583.097251
235	5565.802823
236	5560.796446
237	5554.908507
238	5547.424427
239	5539.101565
240	5531.422852
241	5525.787537
242	5518.799909
243	5513.702199
244	5508.99654
245	5503.537461
246	5497.613168
247	5492.875965
248	5485.632412
249	5477.508164
250	5470.69737
251	5456.315265
252	5447.133689
253	5441.95174
254	5429.77409
255	5427.545571
256	5423.289998
257	5419.177353
258	5403.012575
259	5391.739938
260	5378.951103
261	5376.130114
262	5371.488339
263	5368.482931
264	5363.67125
265	5359.293985
266	5355.280448
267	5350.202313
268	5335.641362
269	5329.740168
270	5322.410744
271	5318.412546
272	5312.174676
273	5309.940006
274	5302.576496
275	5297.723037
276	5292.956174
277	5282.352484
278	5278.648947
279	5271.16665
280	5267.459982
281	5259.775474
282	5248.389577
283	5238.746484
284	5227.104858
285	5222.83625
286	5217.841867
287	5214.004165
288	5206.836121
289	5191.085025
290	5186.31789
291	5182.805439
292	5179.627125
293	5169.605739
294	5156.292119
295	5150.849828
296	5147.512164
297	5138.452286
298	5134.597727
299	5132.315222
300	5127.818309
301	5120.472389
302	5109.798202
303	5102.866726
304	5096.235005
305	5093.198782
306	5087.848979
307	5085.634173
308	5082.523263
309	5079.483177
310	5075.666926
311	5073.300151
312	5069.131824
313	5054.378119
314	5052.309096
315	5041.237258
316	5036.447743
317	5034.435777
318	5032.462809
319	5026.940157
320	5017.013806
321	5005.343035
322	4992.725824
323	4989.517216
324	4979.888363
325	4972.983294
326	4971.067202
327	4966.576052
328	4963.077799
329	4961.186017
330	4956.61583
331	4953.240265
332	4949.870736
333	4946.571714
334	4943.430876
335	4935.247865
336	4925.199471
337	4918.612664
338	4912.246479
339	4902.774222
340	4898.218399
341	4894.766779
342	4884.752145
343	4880.521872
344	4877.377138
345	4871.337385
346	4865.573417
347	4853.753966
348	4850.517895
349	4844.355965
350	4835.829762
351	4830.863121
352	4827.825748
353	4822.063242
354	4819.109255
355	4816.119186
356	4807.607267
357	4802.339743
358	4795.558455
359	4789.140915
360	4786.216658
361	4777.537272
362	4771.979945
363	4768.282301
364	4762.976945
365	4757.834884
366	4755.140773
367	4752.366245
368	4747.285375
369	4744.369542
370	4737.887759
371	4732.22377
372	4724.293366
373	4720.885781
374	4716.014448
375	4712.716215
376	4702.50552
377	4697.768333
378	4694.873758
379	4689.490877
380	4688.389734
381	4685.687549
382	4684.38732
383	4679.81841
384	4672.903369
385	4666.894646
386	4659.195691
387	4654.513174
388	4651.794923
389	4649.182149
390	4645.739909
391	4637.755208
392	4636.733094
393	4634.170281
394	4627.826181
395	4624.258409
396	4621.596092
397	4615.767283
398	4613.144878
399	4609.493264
400	4605.769947
401	4596.717782
402	4594.134702
403	4591.446373
404	4588.016289
405	4585.306634
406	4583.668154
407	4575.946843
408	4569.90786
409	4565.099229
410	4562.784
411	4557.157441
412	4556.167753
413	4549.981813
414	4547.456139
415	4545.432302
416	4541.082404
417	4536.485013
418	4533.607447
419	4531.170024
420	4530.127907
421	4528.120248
422	4526.116402
423	4516.238759
424	4512.42071
425	4509.876593
426	4506.987469
427	4505.701816
428	4503.425645
429	4495.016351
430	4485.444718
431	4476.147412
432	4467.482121
433	4464.086622
434	4459.378094
435	4454.238828
436	4448.623769
437	4441.547614
438	4440.264883
439	4437.812801
440	4436.779714
441	4428.701866
442	4426.463679
443	4424.461308
444	4415.839618
445	4408.03977
446	4406.673502
447	4401.684123
448	4399.50326
449	4393.685109
450	4392.678533
451	4391.550308
452	4389.394223
453	4380.992355
454	4378.678735
455	4375.122597
456	4372.888209
457	4370.818851
458	4370.058387
459	4363.698433
460	4361.659843
461	4360.321653
462	4351.589419
463	4350.06079
464	4345.686021
465	4337.381186
466	4333.56765
467	4329.375285
468	4327.601827
469	4318.624607
470	4310.772316
471	4308.76006
472	4304.682142
473	4298.101735
474	4295.940748
475	4293.957242
476	4287.575027
477	4285.620344
478	4283.697758
479	4282.499616
480	4280.599635
481	4278.995708
482	4276.601982
483	4274.009467
484	4271.457619
485	4266.287275
486	4260.111159
487	4256.619647
488	4249.663937
489	4248.888038
490	4243.856296
491	4235.844923
492	4228.374174
493	4226.241077
494	4225.55884
495	4218.305724
496	4215.384399
497	4213.533275
498	4211.205738
499	4209.417356
500	4207.355375
501	4206.210564
502	4205.430509
503	4202.84033
504	4199.11403
505	4195.071813
506	4190.634181
507	4188.905211
508	4188.091222
509	4180.899874
510	4177.974222
511	4171.567457
512	4166.644341
513	4165.192642
514	4162.473529
515	4157.595449
516	4150.571618
517	4149.389335
518	4143.243903
519	4138.271587
520	4136.28364
521	4132.585005
522	4130.452045
523	4128.235371
524	4120.236018
525	4118.599395
526	4117.509604
527	4115.632142
528	4112.64416
529	4111.421247
530	4104.631878
531	4103.173694
532	4101.157721
533	4097.28365
534	4093.368007
535	4087.596006
536	4084.466024
537	4082.487555
538	4081.865643
539	4079.134108
540	4077.844005
541	4074.973474
542	4072.240389
543	4065.520682
544	4062.448849
545	4059.404944
546	4057.462006
547	4055.558488
548	4048.657643
549	4045.635736
550	4044.105156
551	4043.371528
552	4042.071054
553	4040.204681
554	4039.1833
555	4037.373631
556	4034.860057
557	4031.460583
558	4030.088078
559	4027.723143
560	4025.317607
561	4018.531075
562	4016.422514
563	4013.793513
564	4009.066909
565	4006.086382
566	4004.440377
567	3999.980012
568	3998.461554
569	3996.72349
570	3992.70525
571	3989.784794
572	3986.634897
573	3985.747304
574	3980.290008
575	3978.510377
576	3971.913193
577	3970.416747
578	3966.996516
579	3960.944619
580	3959.409814
581	3956.268403
582	3952.179711
583	3949.832919
584	3946.371188
585	3941.675615
586	3938.150777
587	3933.734715
588	3932.745952
589	3931.418382
590	3930.952519
591	3928.755617
592	3927.770841
593	3924.033056
594	3918.017422
595	3916.252066
596	3912.254146
597	3909.510007
598	3906.44232
599	3904.277257
600	3901.148638
601	3899.717759
602	3897.968517
603	3892.138507
604	3890.083903
605	3888.770877
606	3887.074839
607	3885.412845
608	3883.90806
609	3878.102977
610	3876.40461
611	3871.36961
612	3870.865028
613	3868.031259
614	3866.395307
615	3860.885151
616	3859.339675
617	3858.60148
618	3855.928664
619	3854.569842
620	3852.880827
621	3848.977375
622	3846.991846
623	3843.250072
624	3839.080024
625	3838.080566
626	3836.462024
627	3833.230393
628	3831.497415
629	3829.56692
630	3827.942456
631	3825.523914
632	3822.930707
633	3817.504797
634	3815.280605
635	3813.787642
636	3812.157337
637	3810.139245
638	3807.276461
639	3804.778516
640	3802.602927
641	3801.239508
642	3798.836586
643	3796.477781
644	3795.530933
645	3792.466289
646	3787.016481
647	3783.114726
648	3781.188386
649	3774.97347
650	3769.506137
651	3766.588457
652	3764.11191
653	3762.518942
654	3760.89759
655	3759.700156
656	3755.919199
657	3752.590558
658	3751.255327
659	3745.949921
660	3744.134015
661	3741.671124
662	3740.268018
663	3734.568068
664	3728.623278
665	3727.045741
666	3721.783023
667	3721.233864
668	3718.702786
669	3716.180671
670	3710.732836
671	3710.329083
672	3709.483796
673	3704.742997
674	3701.999654
675	3700.452669
676	3699.466471
677	3697.935409
678	3696.794469
679	3695.031132
680	3693.523314
681	3688.463484
682	3686.36047
683	3685.787613
684	3681.102192
685	3679.199886
686	3677.72297
687	3676.275624
688	3675.11361
689	3670.202838
690	3668.470231
691	3667.357221
692	3666.701412
693	3658.373869
694	3655.593531
695	3653.67573
696	3651.385278
697	3648.326841
698	3645.321786
699	3643.236798
700	3641.881708
701	3641.452831
702	3636.235345
703	3632.993011
704	3630.723144
705	3630.169303
706	3627.325182
707	3625.043469
708	3620.947738
709	3616.033128
710	3610.878989
711	3609.093952
712	3607.652435
713	3604.186599
714	3601.390619
715	3596.181087
716	3592.500282
717	3591.765677
718	3590.466213
719	3587.329229
720	3584.804491
721	3583.387497
722	3580.336336
723	3578.947304
724	3574.494665
725	3570.370227
726	3569.027997
727	3566.323154
728	3564.512597
729	3563.95077
730	3560.964345
731	3556.055605
732	3554.991334
733	3549.815162
734	3548.443697
735	3544.973774
736	3543.27636
737	3542.419982
738	3541.073946
739	3538.893065
740	3535.647757
741	3534.613742
742	3533.296971
743	3531.662691
744	3526.657802
745	3524.159888
746	3522.865775
747	3518.376859
748	3517.369122
749	3514.272988
750	3512.120115
751	3507.112142
752	3504.999533
753	3502.922895
754	3501.649953
755	3500.685
756	3499.437279
757	3496.847235
758	3496.310668
759	3495.92653
760	3493.422328
761	3490.809817
762	3489.176717
763	3487.955513
764	3486.77664
765	3485.138965
766	3483.952136
767	3481.36832
768	3480.040755
769	3477.820364
770	3476.852846
771	3472.194598
772	3470.492854
773	3468.679278
774	3466.862127
775	3464.815662
776	3463.86979
777	3462.102503
778	3460.946929
779	3459.832007
780	3458.144172
781	3456.026605
782	3454.117325
783	3450.282911
784	3449.138652
785	3444.146233
786	3441.657634
787	3439.09366
788	3436.73628
789	3432.015214
790	3430.160181
791	3427.733041
792	3426.098348
793	3424.707948
794	3420.899307
795	3419.330682
796	3417.114568
797	3414.642579
798	3413.348335
799	3411.503532
800	3410.678324
801	3408.909925
802	3406.933625
803	3405.312145
804	3403.30589
805	3401.326629
806	3399.393281
807	3396.990116
808	3395.29079
809	3391.969583
810	3386.628705
811	3385.747081
812	3383.500928
813	3380.981103
814	3379.046487
815	3377.831624
816	3376.177246
817	3374.432154
818	3372.126535
819	3369.330589
820	3367.733771
821	3364.99787
822	3362.132368
823	3361.3346
824	3360.482318
825	3358.348276
826	3356.581515
827	3352.846116
828	3351.687718
829	3350.142144
830	3349.006702
831	3346.737638
832	3344.284073
833	3342.471862
834	3340.913509
835	3335.096067
836	3333.993028
837	3331.936179
838	3330.437533
839	3329.355105
840	3327.660688
