iter	RMSE
0	3625.027172
1	3314.880456
2	3034.456668
3	2781.075583
4	2553.389436
5	2344.694241
6	2163.39783
7	2004.482343
8	1860.374837
9	1728.25192
10	1609.079752
11	1502.431711
12	1408.122866
13	1325.506668
14	1248.024182
15	1180.942707
16	1119.097427
17	1063.446217
18	1014.313699
19	970.7070595
20	932.5583705
21	900.0787354
22	870.196779
23	843.4777173
24	818.8019425
25	796.9547599
26	777.0418291
27	758.9728578
28	743.6188562
29	729.1552692
30	717.0508582
31	705.6883497
32	695.2386725
33	686.6108326
34	678.3633973
35	670.1771163
36	663.2176807
37	656.4633355
38	650.4393794
39	643.9642193
40	639.5081848
41	634.417964
42	630.180122
43	625.7948017
44	622.0227502
45	618.524184
46	614.952655
47	610.6838949
48	608.6148419
49	605.5267309
50	602.6860655
51	600.5467643
52	597.659488
53	595.6087021
54	593.2544479
55	592.072216
56	589.28217
57	587.2939023
58	585.8895161
59	584.1035352
60	581.8793042
61	580.169203
62	578.7501979
63	576.9852922
64	575.0842347
65	573.70447
66	571.8913894
67	570.7828012
68	569.0498429
69	568.4880807
70	567.5206065
71	566.1423385
72	565.1625662
73	563.677507
74	562.4950969
75	561.9124802
76	560.9298579
77	559.7852212
78	558.8804984
79	558.081172
80	557.1327761
81	556.0143857
82	555.3537566
83	554.5578938
84	553.6611555
85	553.0565551
86	552.4583046
87	550.9308076
88	550.3237527
89	549.5531816
90	548.910341
91	547.7016779
92	546.9462879
93	546.4791868
94	545.6579625
95	544.9798483
96	543.6970676
97	543.0190081
98	542.6683442
99	542.1828606
100	541.7130674
101	541.2703707
102	540.8946275
103	540.4030226
104	540.1791187
105	539.6134919
106	538.5589156
107	538.3667411
108	537.7214295
109	537.0841357
110	536.152456
111	535.7147841
112	535.3873794
113	535.1865986
114	534.8819305
115	534.6079616
116	533.9638549
117	533.4701905
118	533.0606946
119	533.0177211
120	532.5371398
121	531.9270785
122	531.4490338
123	531.1891791
124	530.9434206
125	530.591296
126	530.5565678
127	529.8614347
128	529.4652595
129	529.0514637
130	528.7398336
131	528.4836972
132	528.260416
133	528.2419074
134	527.5754162
135	527.5129222
136	527.1848211
137	526.6753731
138	526.2802003
139	525.813316
140	525.4179265
141	524.6999346
142	524.4321231
143	523.865105
144	523.6962933
145	523.2880958
146	523.1313551
147	522.8369021
148	522.5036061
149	522.2344913
150	521.8966633
151	521.5512917
152	521.3743731
153	520.6459298
154	519.9513082
155	519.6843358
156	519.5114876
157	518.7836169
158	518.2588718
159	517.7833233
160	517.3313432
161	517.2026486
162	516.826963
163	516.170634
164	515.9532843
165	515.3797969
166	515.0203499
167	514.8608341
168	514.374737
169	514.0239617
170	513.9054431
171	513.7618254
172	513.3415751
173	512.8892055
174	512.3285198
175	511.7917691
176	511.4951996
177	511.2501672
178	511.0493175
179	510.4294735
180	509.9278953
181	509.7287055
182	509.6024481
183	509.4173196
184	509.0785564
185	508.8756305
186	508.4360945
187	508.1552212
188	507.6834282
189	507.2491849
190	506.9316736
191	506.5761991
192	506.5037921
193	506.4113028
194	505.9777111
195	505.9708054
196	505.8016361
197	505.7247141
198	505.4203506
199	504.9698251
200	504.6384113
201	504.3401059
202	504.1870744
203	503.7472012
204	503.1292777
205	503.0554886
206	502.5737214
207	502.2793201
208	501.9425457
209	501.9295212
210	501.416104
211	501.4035792
212	501.3223526
213	501.3103975
214	501.3044095
215	501.110838
216	501.1064428
217	500.6861431
218	500.6819138
219	500.6778524
220	500.6739517
221	500.6702049
222	500.6666056
223	500.6631474
224	500.3610451
225	500.2850743
226	500.147201
227	500.0316351
228	499.6133844
229	499.1439545
230	498.8649403
231	498.6868955
232	498.6083253
233	498.2401683
234	497.8562741
235	497.8530906
236	497.8500302
237	497.6496645
238	497.4098352
239	496.8785376
240	496.5499519
241	496.3430138
242	495.9799242
243	495.7188219
244	495.4994352
245	495.2085132
246	495.2056008
247	494.9447244
248	494.941914
249	494.8765155
250	494.8738155
251	494.6637563
252	494.4749444
253	494.11275
254	493.9330807
255	493.670228
256	493.5169873
257	493.4077267
258	493.3474402
259	493.2861206
260	492.9119526
261	492.6577658
262	492.6541529
263	492.6506794
264	492.6473401
265	492.5093742
266	492.3293473
267	491.9909446
268	491.8216629
269	491.4201645
270	491.4179669
271	491.203624
272	490.880878
273	490.4218856
274	490.1494182
275	489.9056788
276	489.6050431
277	489.2704556
278	489.2576714
279	488.979847
280	488.6573636
281	488.6543339
282	488.4214332
283	488.3623282
284	488.3200011
285	487.8800182
286	487.6046786
287	487.2888476
288	487.0819138
289	487.0798891
290	486.7031253
291	486.3739096
292	486.1004729
293	486.0361804
294	485.9199015
295	485.7207997
296	485.4257712
297	485.1021193
298	484.9339016
299	484.6499335
300	484.4196961
301	484.2991147
302	484.0771489
303	483.8917726
304	483.8143919
305	483.6675329
306	483.4180059
307	483.267923
308	483.116128
309	482.8744504
310	482.6880041
311	482.5617886
312	482.512414
313	482.162735
314	481.9630321
315	481.7895711
316	481.6005783
317	481.5868507
318	481.5730675
319	481.2993538
320	481.0850063
321	480.9763573
322	480.8623761
323	480.6197575
324	480.5096068
325	480.3347069
326	480.131943
327	480.0753575
328	479.8465752
329	479.6617524
330	479.2692281
331	478.9874358
332	478.6842151
333	478.517323
334	478.3104598
335	478.2578523
336	478.1537356
337	478.0309507
338	477.8522069
339	477.6660628
340	477.5304653
341	477.2762438
342	477.2744906
343	477.0345896
344	476.7500921
345	476.6304344
