iter	Passed	Remaining
0	23	28047
1	28	17269
2	34	13685
3	39	11810
4	45	10934
5	52	10363
6	60	10252
7	67	10005
8	72	9654
9	78	9299
10	83	9002
11	88	8718
12	93	8565
13	99	8468
14	105	8306
15	110	8170
16	115	8015
17	119	7876
18	125	7776
19	130	7696
20	134	7571
21	140	7500
22	145	7456
23	150	7391
24	155	7314
25	161	7270
26	166	7216
27	171	7160
28	175	7095
29	180	7035
30	185	6993
31	190	6940
32	194	6890
33	200	6864
34	206	6862
35	213	6905
36	220	6942
37	226	6931
38	232	6929
39	237	6889
40	241	6839
41	247	6811
42	251	6777
43	256	6732
44	261	6704
45	266	6683
46	271	6652
47	275	6620
48	281	6603
49	285	6571
50	290	6545
51	295	6524
52	300	6510
53	306	6496
54	310	6461
55	314	6433
56	319	6414
57	324	6387
58	328	6361
59	334	6349
60	338	6329
61	343	6306
62	348	6289
63	353	6270
64	357	6247
65	362	6227
66	367	6220
67	372	6203
68	377	6181
69	381	6163
70	386	6143
71	390	6121
72	396	6114
73	401	6106
74	405	6085
75	410	6070
76	415	6058
77	419	6036
78	424	6019
79	429	6008
80	434	5999
81	438	5980
82	443	5969
83	448	5955
84	452	5936
85	457	5923
86	462	5915
87	467	5908
88	472	5893
89	476	5882
90	481	5867
91	486	5853
92	490	5842
93	495	5834
94	501	5828
95	505	5813
96	510	5806
97	515	5797
98	520	5787
99	524	5772
100	529	5762
101	534	5755
102	538	5739
103	543	5730
104	548	5724
105	553	5717
106	558	5707
107	563	5702
108	569	5696
109	573	5687
110	579	5683
111	584	5679
112	589	5674
113	595	5676
114	602	5685
115	608	5684
116	613	5682
117	619	5679
118	626	5686
119	632	5688
120	638	5696
121	645	5699
122	651	5700
123	657	5702
124	662	5700
125	668	5694
126	673	5688
127	679	5687
128	684	5683
129	689	5678
130	694	5667
131	699	5661
132	704	5653
133	709	5640
134	714	5636
135	719	5629
136	724	5624
137	730	5618
138	734	5609
139	740	5605
140	745	5599
141	751	5595
142	755	5585
143	761	5581
144	765	5572
145	771	5566
146	775	5554
147	781	5554
148	787	5552
149	792	5545
150	798	5543
151	803	5539
152	808	5534
153	814	5532
154	820	5530
155	825	5526
156	830	5520
157	836	5513
158	842	5512
159	848	5512
160	853	5510
161	859	5505
162	864	5497
163	869	5492
164	875	5490
165	881	5489
166	886	5485
167	892	5481
168	897	5473
169	903	5471
170	908	5467
171	914	5464
172	920	5463
173	925	5457
174	931	5453
175	936	5446
176	941	5440
177	946	5435
178	951	5428
179	956	5418
180	961	5413
181	966	5406
182	971	5396
183	975	5388
184	981	5383
185	985	5375
186	990	5367
187	996	5362
188	1000	5354
189	1006	5348
190	1011	5341
191	1016	5334
192	1020	5324
193	1024	5314
194	1030	5309
195	1034	5300
196	1040	5297
197	1044	5287
198	1049	5280
199	1054	5274
200	1059	5267
201	1064	5260
202	1069	5253
203	1075	5249
204	1079	5240
205	1084	5232
206	1089	5225
207	1093	5217
208	1098	5208
209	1103	5201
210	1108	5195
211	1112	5184
212	1117	5178
213	1122	5171
214	1126	5161
215	1131	5153
216	1135	5145
217	1140	5139
218	1145	5130
219	1150	5124
220	1155	5117
221	1159	5107
222	1164	5100
223	1168	5092
224	1173	5085
225	1178	5078
226	1183	5073
227	1188	5065
228	1192	5058
229	1197	5051
230	1202	5044
231	1206	5035
232	1211	5029
233	1216	5021
234	1221	5016
235	1225	5006
236	1229	4997
237	1234	4989
238	1239	4983
239	1244	4977
240	1248	4969
241	1253	4962
242	1258	4955
243	1263	4948
244	1267	4940
245	1272	4934
246	1276	4925
247	1280	4916
248	1285	4910
249	1290	4904
250	1294	4894
251	1299	4888
252	1304	4881
253	1308	4872
254	1312	4865
255	1318	4862
256	1323	4854
257	1327	4846
258	1332	4839
259	1336	4831
260	1340	4823
261	1345	4818
