,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.21,Ideal,H,VS2,63.0,57.0,6.73,6.7,4.23,6134
1,0.28,Very Good,D,VVS2,64.0,56.0,4.14,4.17,2.66,532
2,0.42,Premium,F,VS1,61.2,58.0,4.86,4.82,2.96,1103
3,0.26,Ideal,H,IF,61.1,57.0,4.16,4.12,2.53,600
4,1.1,Good,G,SI1,63.4,57.0,6.52,6.55,4.14,4997
5,0.35,Ideal,F,SI1,62.2,56.0,4.48,4.52,2.8,583
6,0.31,Ideal,I,VS2,62.3,54.0,4.37,4.4,2.73,452
7,0.43,Premium,H,SI1,60.2,57.0,4.93,4.91,2.96,919
8,0.51,Premium,I,SI2,60.4,59.0,5.2,5.17,3.13,956
9,1.22,Ideal,I,VS1,61.9,55.7,6.81,6.84,4.23,6469
10,0.41,Very Good,D,SI1,63.2,57.0,4.77,4.73,3.0,947
11,0.33,Premium,G,VVS1,61.9,59.0,4.41,4.38,2.72,1114
12,0.93,Ideal,I,SI1,62.5,55.0,6.23,6.29,3.91,3856
13,0.71,Ideal,H,VS1,61.6,57.0,5.74,5.79,3.55,2175
14,0.47,Ideal,G,VVS2,62.2,53.0,5.0,5.04,3.12,1618
15,1.71,Premium,I,SI2,60.6,57.0,7.78,7.71,4.69,9760
16,0.33,Very Good,E,VVS2,60.1,63.0,4.45,4.5,2.69,981
17,1.26,Very Good,G,SI1,61.7,60.0,6.85,6.9,4.24,6733
18,0.75,Premium,G,SI1,60.9,58.0,5.87,5.83,3.56,2631
19,0.76,Very Good,H,SI1,61.4,57.0,5.89,5.94,3.63,2557
20,0.31,Ideal,E,VVS2,62.4,53.0,4.33,4.35,2.71,791
21,0.7,Premium,F,VVS2,58.7,60.0,5.8,5.75,3.39,3062
22,0.3,Ideal,D,VVS2,61.6,57.0,4.31,4.32,2.66,814
23,0.28,Ideal,F,VS1,60.2,56.0,4.3,4.31,2.59,598
24,0.9,Ideal,E,VS2,62.7,56.0,6.14,6.18,3.86,4770
25,0.51,Ideal,J,SI1,62.5,56.0,5.06,5.12,3.18,988
26,0.71,Very Good,I,VS2,61.1,60.0,5.72,5.77,3.51,2384
27,0.57,Ideal,H,VVS1,60.9,56.0,5.36,5.38,3.27,1949
28,0.71,Very Good,F,SI2,60.5,62.0,5.75,5.79,3.49,2138
29,0.72,Very Good,E,SI1,63.3,56.0,5.67,5.71,3.6,3183
30,0.36,Ideal,G,VS1,62.3,57.0,4.55,4.57,2.84,678
31,0.3,Ideal,H,VS1,61.9,58.0,4.3,4.32,2.67,545
32,0.9,Very Good,I,VS2,59.3,59.0,6.27,6.3,3.73,3992
33,0.7,Good,D,VVS1,59.2,59.0,5.76,5.79,3.42,4198
34,0.38,Premium,E,VS2,60.5,62.0,4.74,4.65,2.84,1112
35,0.67,Fair,I,VS2,57.2,70.0,5.82,5.75,3.31,1436
36,0.3,Premium,E,VS1,61.4,59.0,4.32,4.28,2.64,814
37,2.02,Premium,E,SI2,59.8,58.0,8.2,8.16,4.89,17825
38,2.0,Premium,G,SI2,61.1,60.0,8.1,8.03,4.93,13986
39,0.33,Ideal,H,SI1,63.0,57.0,4.41,4.39,2.77,610
40,1.1,Ideal,F,I1,61.8,56.0,6.65,6.61,4.1,3745
41,0.56,Very Good,E,VS2,61.7,56.0,5.25,5.31,3.26,1755
42,0.85,Premium,J,VS2,60.7,58.0,6.12,6.08,3.71,2295
43,0.93,Good,J,SI1,63.7,54.0,6.15,6.09,3.9,2438
44,0.53,Ideal,D,VS2,61.2,56.0,5.2,5.23,3.19,1857
45,0.4,Very Good,G,VVS1,60.9,57.0,4.76,4.8,2.91,1123
46,0.73,Ideal,F,SI2,61.9,55.0,5.78,5.82,3.59,2588
47,1.14,Premium,I,SI1,62.2,58.0,6.7,6.67,4.16,4788
48,1.02,Premium,E,SI1,61.4,58.0,6.48,6.45,3.97,5956
49,1.2,Ideal,G,VS1,62.6,54.3,6.76,6.8,4.25,8687
50,1.02,Ideal,F,VS2,62.6,57.0,6.4,6.47,4.03,7632
51,1.02,Premium,D,VVS2,61.4,58.0,6.43,6.46,3.96,10580
52,1.2,Ideal,I,SI2,63.0,57.0,6.77,6.7,4.24,4596
53,1.0,Good,E,SI1,59.8,65.0,6.56,6.45,3.89,4213
54,1.11,Premium,G,SI1,60.9,59.0,6.69,6.64,4.07,4096
55,0.39,Premium,F,VS1,60.6,55.0,4.77,4.73,2.88,1092
56,1.07,Premium,H,SI1,63.0,57.0,6.55,6.44,4.09,5465
57,1.14,Very Good,I,VS2,62.5,59.0,6.63,6.66,4.15,4785
58,0.58,Ideal,E,SI2,61.4,57.1,5.36,5.38,3.3,1392
59,1.5,Good,G,SI2,64.3,57.0,7.2,7.29,4.66,8043
