iter	MultiClass
0	2.286586899
1	2.208567356
2	2.145873696
3	2.095952484
4	2.055866276
5	2.022516488
6	1.99530531
7	1.971593873
8	1.952458238
9	1.935935789
10	1.922015198
11	1.909814856
12	1.900451594
13	1.891463137
14	1.883428459
15	1.87641835
16	1.870025131
17	1.865068927
18	1.86038098
19	1.856345479
20	1.85294036
21	1.84985046
22	1.846879467
23	1.844627228
24	1.842525507
25	1.840485011
26	1.838877909
27	1.837416844
28	1.836119699
29	1.834593038
30	1.833478501
31	1.832491471
32	1.831646249
33	1.830777981
34	1.829898147
35	1.829097989
36	1.828503402
37	1.82781255
38	1.827176309
39	1.826638987
40	1.826052644
41	1.825353604
42	1.824922098
43	1.824504529
44	1.824076841
45	1.82368881
46	1.823252924
47	1.822919618
48	1.822534773
49	1.822124329
50	1.821770976
51	1.821456315
52	1.821027085
53	1.820601179
54	1.820182449
55	1.819892637
56	1.81954417
57	1.819312008
58	1.819109148
59	1.81876735
60	1.81843433
61	1.818202591
62	1.818029532
63	1.81775127
64	1.817502803
65	1.817317702
66	1.817145543
67	1.816735417
68	1.816479166
69	1.816318635
70	1.816167556
71	1.815939534
72	1.815675142
73	1.81548747
74	1.815222973
75	1.81498639
76	1.814741971
77	1.814518944
78	1.814380725
79	1.81418019
80	1.814046897
81	1.813837536
82	1.813731822
83	1.813540303
84	1.813392182
85	1.813261319
86	1.812986936
87	1.812661197
88	1.812357383
89	1.812221895
90	1.812059087
91	1.811865044
92	1.811598956
93	1.811447845
94	1.811315907
95	1.81102661
96	1.81085443
97	1.810672904
98	1.810559928
99	1.810363018
100	1.810150747
101	1.809914991
102	1.809753566
103	1.809619237
104	1.809502712
105	1.809281242
106	1.809058787
107	1.808886276
108	1.808745024
109	1.808630932
110	1.808380675
111	1.80818928
112	1.808042472
113	1.807891748
114	1.807662057
115	1.807557725
116	1.807418937
117	1.807195809
118	1.80713094
119	1.806972988
120	1.80670498
121	1.806499479
122	1.806221741
123	1.806010591
124	1.805825635
125	1.805568461
126	1.805360196
127	1.804986807
128	1.804872931
129	1.804649954
130	1.804521788
131	1.804374273
132	1.804224499
133	1.804046366
134	1.803908375
135	1.803719747
136	1.803557928
137	1.803486161
138	1.803345859
139	1.803137816
140	1.802945363
141	1.8027492
142	1.802624628
143	1.802508832
144	1.802440026
145	1.80210047
146	1.801963674
147	1.801776101
148	1.801604664
149	1.801451951
150	1.801283362
151	1.801145598
152	1.800850585
153	1.800690371
154	1.800526999
155	1.800350237
156	1.800195327
157	1.800123045
158	1.800058837
159	1.799856821
160	1.799618625
161	1.799428414
162	1.799303581
163	1.799088403
164	1.798938234
165	1.798879571
166	1.798753864
167	1.798636972
168	1.798480245
169	1.798281878
170	1.798080525
171	1.797968434
172	1.797867049
173	1.79780414
174	1.797654988
175	1.79750534
176	1.7973113
177	1.797249495
178	1.797156884
179	1.797029645
180	1.796891089
181	1.796739286
182	1.796586017
183	1.796425132
184	1.796342404
185	1.79622489
186	1.796128904
187	1.795991446
188	1.795893508
189	1.795684832
190	1.795582267
191	1.795382264
192	1.795195737
193	1.795114044
194	1.79496971
195	1.794879339
196	1.794808962
197	1.794696854
198	1.794602351
199	1.794510481
200	1.794370903
201	1.794216681
202	1.794089128
203	1.793948775
204	1.79381084
205	1.79374262
206	1.793588077
207	1.793488145
208	1.793398211
209	1.793148725
210	1.792935033
211	1.79281277
212	1.792615774
213	1.792506319
214	1.79235029
215	1.79228907
216	1.792245572
217	1.792136841
218	1.791978364
219	1.791891867
