iter	Passed	Remaining
0	93	111528
1	168	100694
2	239	95575
3	333	99680
4	417	99854
5	510	101624
6	592	100944
7	674	100430
8	766	101431
9	857	102089
10	948	102474
11	1032	102187
12	1084	99021
13	1166	98780
14	1254	99136
15	1341	99265
16	1428	99434
17	1513	99363
18	1602	99584
19	1681	99227
20	1775	99653
21	1856	99409
22	1948	99719
23	2039	99945
24	2124	99831
25	2212	99901
26	2290	99527
27	2382	99721
28	2471	99785
29	2564	100029
30	2652	100021
31	2742	100105
32	2823	99850
33	2910	99815
34	2999	99831
35	3087	99832
36	3179	99945
37	3264	99834
38	3356	99908
39	3446	99935
40	3539	100050
41	3632	100141
42	3723	100178
43	3813	100188
44	3898	100068
45	3987	100023
46	4075	99971
47	4161	99881
48	4250	99843
49	4342	99887
50	4436	99942
51	4520	99802
52	4607	99722
53	4695	99643
54	4785	99634
55	4877	99646
56	4964	99554
57	5055	99542
58	5145	99517
59	5241	99581
60	5320	99335
61	5411	99321
62	5502	99312
63	5597	99348
64	5690	99363
65	5779	99305
66	5873	99329
67	5957	99173
68	6047	99121
69	6140	99117
70	6233	99115
71	6324	99082
72	6414	99031
73	6502	98937
74	6596	98949
75	6677	98753
76	6769	98733
77	6861	98699
78	6947	98579
79	7035	98496
80	7120	98363
81	7213	98343
82	7305	98315
83	7389	98171
84	7480	98129
85	7572	98093
86	7656	97954
87	7748	97911
88	7840	97870
89	7928	97782
90	8014	97676
91	8100	97562
92	8187	97460
93	8278	97408
94	8367	97322
95	8453	97214
96	8534	97042
97	8625	96995
98	8717	96947
99	8802	96824
100	8891	96754
101	8976	96630
102	9065	96553
103	9157	96509
104	9245	96414
105	9335	96347
106	9424	96266
107	9513	96188
108	9601	96106
109	9689	96012
110	9776	95920
111	9865	95840
112	9958	95798
113	10043	95681
114	10134	95618
115	10225	95557
116	10315	95488
117	10410	95456
118	10495	95342
119	10586	95282
120	10678	95227
121	10765	95124
122	10851	95016
123	10938	94915
124	11022	94793
125	11108	94689
126	11201	94639
127	11289	94549
128	11377	94458
129	11470	94414
130	11562	94354
131	11649	94258
132	11751	94276
133	11853	94300
134	11940	94194
135	12039	94187
136	12126	94088
137	12219	94040
138	12312	93983
139	12402	93905
140	12498	93872
141	12586	93779
142	12677	93707
143	12758	93565
144	12864	93603
145	12957	93544
146	13046	93453
147	13134	93362
148	13224	93278
149	13314	93198
150	13406	93138
151	13502	93093
152	13592	93015
153	13683	92937
154	13777	92886
155	13870	92828
156	13963	92763
157	14055	92695
158	14151	92650
