,title,quote,ID,Year,Genre
0,10 things i hate about you,Who knocked up your sister?,tt0147800,1999,"Comedy,Drama,Romance"
1,10 things i hate about you,"I was watching you out there, before. I've never seen you look so sexy.",tt0147800,1999,"Comedy,Drama,Romance"
2,10 things i hate about you,"You're 18, you don't know what you want. And you won't know what you want 'til you're 45, and even if you get it, you'll be too old to use it.",tt0147800,1999,"Comedy,Drama,Romance"
3,10 things i hate about you,"Ooh, see that, there. Who needs affection when I have blind hatred?",tt0147800,1999,"Comedy,Drama,Romance"
4,10 things i hate about you,"Just 'cause you're beautiful, that doesn't mean that you can treat people like they don't matter.",tt0147800,1999,"Comedy,Drama,Romance"
5,10 things i hate about you,You're asking me out? That's so cute! What's your name again?,tt0147800,1999,"Comedy,Drama,Romance"
6,10 things i hate about you,Leave it to you to use big words when you're smashed.,tt0147800,1999,"Comedy,Drama,Romance"
7,10 things i hate about you,And I'm BACK IN THE GAME!,tt0147800,1999,"Comedy,Drama,Romance"
8,10 things i hate about you,"I guess in this society, being male and an asshole makes you worthy of our time.",tt0147800,1999,"Comedy,Drama,Romance"
9,10 things i hate about you,"I have a dick on my face, don't I?",tt0147800,1999,"Comedy,Drama,Romance"
10,10 things i hate about you,You embarrassed the girl. Sacrifice yourself on the alter of dignity and even the score.,tt0147800,1999,"Comedy,Drama,Romance"
11,10 things i hate about you,You're not as vile as I thought you were.,tt0147800,1999,"Comedy,Drama,Romance"
12,10 things i hate about you,It's not everyday you find a girl who'll flash someone to get you out of detention.,tt0147800,1999,"Comedy,Drama,Romance"
13,10 things i hate about you,Watching that bitch violate my car doesn't count as a date.,tt0147800,1999,"Comedy,Drama,Romance"
14,10 things i hate about you,Oh wait... was that... did your hairline just recede?,tt0147800,1999,"Comedy,Drama,Romance"
15,10 things i hate about you,"Remove head from sphincter, then drive!",tt0147800,1999,"Comedy,Drama,Romance"
16,1492: conquest of paradise,"Of all the words my father wrote - and there were many - I remember these the most: ""Nothing that results from human progress is achieved with unanimous consent. And those who are enlightened before the others are condemned to persue that light in spite of others.""",tt0103594,1992,"Adventure,Biography,Drama"
17,15 minutes,I can kill you - I'm insane.,tt0179626,2001,"Action,Crime,Drama"
18,15 minutes,I love America. No one is responsible for what they do.,tt0179626,2001,"Action,Crime,Drama"
19,2001: a space odyssey,"Welcome to Voiceprint Identification. When you see the red light go on, would you please state in the following order: your destination, your nationality, and your full name; surname first, Christian name and initial.",tt0062622,1968,"Adventure,Sci-Fi"
20,8mm,"Starlight; star bright, first star I've seen tonight, I wish I may; I wish I might, Have this wish I wish tonight",tt0134273,1999,"Crime,Drama,Mystery"
21,8mm,"Oh, he's a lover, man... definitely loves what he does for a living.",tt0134273,1999,"Crime,Drama,Mystery"
22,a bucket of blood,"I didn't mean to hurt you, Lou. But if you'd have shot me, you'd be moppin' up my blood now.",tt0052655,1959,"Comedy,Crime,Horror"
23,a bucket of blood,"Where are John, Joe, Jake, Jim, jerk? Dead, dead, dead! They were not born, before they were born, they were not born. Where are Leonardo, Rembrandt, Ludwig? Alive! Alive! Alive! They were born!",tt0052655,1959,"Comedy,Crime,Horror"
24,a bucket of blood,"Walter has a clear mind. One day something will enter it, feel lonely... and leave again.",tt0052655,1959,"Comedy,Crime,Horror"
25,a bucket of blood,Ring rubber bells! Beat cotton gongs! Strike silken cymbals!,tt0052655,1959,"Comedy,Crime,Horror"
26,a clockwork orange,"One thing I could never stand was to see a filthy, dirty old drunkie, howling away at the filthy songs of his fathers and going blurp blurp in between as it might be a filthy old orchestra in his stinking, rotten guts. I could never stand to see anyone like that, whatever his age might be, but more especially when he was real old like this one was.",tt0066921,1971,"Crime,Drama,Sci-Fi"
27,a clockwork orange,"She was very badly raped, you see! We were assaulted by a gang of vicious, young, hoodlums in this house! In this very room you are sitting in now! I was left a helpless cripple, but for her the agony was too great! The doctor said it was pneumonia; because it happened some months later! During a flu epidemic! The doctors told me it was pneumonia, but I knew what it was! A VICTIM OF THE MODERN AGE! Poor, poor girl!",tt0066921,1971,"Crime,Drama,Sci-Fi"
28,a clockwork orange,"I jumped, O my brothers, and I fell hard but I did not snuff it, oh no. if I had snuffed it, I would not be here to tell what I have told.",tt0066921,1971,"Crime,Drama,Sci-Fi"
29,a clockwork orange,Appy-polly-loggies. I had something of a pain in the gulliver so had to sleep. I was not awakened when I gave orders for wakening.,tt0066921,1971,"Crime,Drama,Sci-Fi"
30,a clockwork orange,Enjoying that are you my darlin'? Bit cold and pointless isn't it my lovely? What's happened to yours my little sister?,tt0066921,1971,"Crime,Drama,Sci-Fi"
31,a clockwork orange,"I've suffered the tortures of the damned, sir  - tortures of the damned.",tt0066921,1971,"Crime,Drama,Sci-Fi"
32,a clockwork orange,"Welly, welly, welly, welly, welly, welly, well. To what do I owe the extreme pleasure of this surprising visit?",tt0066921,1971,"Crime,Drama,Sci-Fi"
33,a clockwork orange,"Viddy well, little brother. Viddy well.",tt0066921,1971,"Crime,Drama,Sci-Fi"
34,a clockwork orange,"Well, like he says, it's mostly odd things he does. Helping like... here and there as it might be.",tt0066921,1971,"Crime,Drama,Sci-Fi"
35,a clockwork orange,Pick that up and put it down properly!,tt0066921,1971,"Crime,Drama,Sci-Fi"
36,a clockwork orange,"Are you now, or have you ever been a homosexual?",tt0066921,1971,"Crime,Drama,Sci-Fi"
37,a clockwork orange,"What you got back home, little sister, to play your fuzzy warbles on? I bet you got little save pitiful, portable picnic players. Come with uncle and hear all proper! Hear angel trumpets and devil trombones. You are invited.",tt0066921,1971,"Crime,Drama,Sci-Fi"
38,a clockwork orange,"Hi, hi, hi there! At last we meet. Our brief govoreet through the letter-hole was not, shall we say, satisfactory, yes?",tt0066921,1971,"Crime,Drama,Sci-Fi"
39,a clockwork orange,"As we walked along the flatblock marina, I was calm on the outside, but thinking all the time - Now it was to be Georgie the general, saying what we should do and what not to do, and Dim as his mindless greeding bulldog. But suddenly, I viddied that thinking was for the gloopy ones, and that the oomny ones use like, inspiration and what Bog sends. Now it was lovely music that came into my aid. There was a window open with the stereo on, and I viddied right at once what to do.",tt0066921,1971,"Crime,Drama,Sci-Fi"
40,a clockwork orange,"It had been a wonderful evening and what I needed now, to give it the perfect ending, was a little of the Ludwig Van.",tt0066921,1971,"Crime,Drama,Sci-Fi"
41,a clockwork orange,"I woke up. The pain and sickness all over me like an animal. Then I realized what it was. The music coming up from the floor was our old friend, Ludwig Van, and the dreaded Ninth Symphony.",tt0066921,1971,"Crime,Drama,Sci-Fi"
42,a clockwork orange,"Shut your filthy hole, you scum!",tt0066921,1971,"Crime,Drama,Sci-Fi"
43,a clockwork orange,"Naughty, naughty, naughty! You filthy old soomka!",tt0066921,1971,"Crime,Drama,Sci-Fi"
44,a clockwork orange,"Excuse me, Mrs. Can you please help? There's been a terrible accident! My friend's in the middle of the road bleeding to death! Can I please use your telephone for an ambulance?",tt0066921,1971,"Crime,Drama,Sci-Fi"
45,a clockwork orange,Eggiwegs! I would like... to smash them!,tt0066921,1971,"Crime,Drama,Sci-Fi"
46,a clockwork orange,"Ho, ho, ho! Well, if it isn't fat stinking billy goat Billy Boy in poison! How art thou, thou globby bottle of cheap, stinking chip oil? Come and get one in the yarbles, if ya have any yarbles, you eunuch jelly thou!",tt0066921,1971,"Crime,Drama,Sci-Fi"
47,a clockwork orange,"The Durango '95 purred away a real horrowshow - a nice, warm vibraty feeling all through your guttiwuts. And soon it was trees and dark, my brothers, with real country dark.",tt0066921,1971,"Crime,Drama,Sci-Fi"
48,a clockwork orange,"There was me, that is Alex, and my three droogs, that is Pete, Georgie, and Dim, and we sat in the Korova Milkbar trying to make up our rassoodocks what to do with the evening. The Korova milkbar sold milk-plus, milk plus vellocet or synthemesc or drencrom, which is what we were drinking. This would sharpen you up and make you ready for a bit of the old ultra-violence.",tt0066921,1971,"Crime,Drama,Sci-Fi"
49,a clockwork orange,"Suddenly, I viddied what I had to do, and what I had wanted to do, and that was to do myself in; to snuff it, to blast off for ever out of this wicked, cruel world. One moment of pain perhaps and, then, sleep for ever, and ever and ever.",tt0066921,1971,"Crime,Drama,Sci-Fi"
50,a few good men,"""I strenuously object?"" Is that how it works? Hm? ""Objection."" ""Overruled."" ""Oh, no, no, no. No, I STRENUOUSLY object."" ""Oh. Well, if you strenuously object then I should take some time to reconsider.""",tt0104257,1992,"Drama,Thriller"
51,a few good men,"We joined the Marines because we wanted to live our lives by a certain code, and we found it in the Corps. Now you're asking us to sign a piece of paper that says we have no honor. You're asking us to say we're not Marines. If a court decides that what we did was wrong, then I'll accept whatever punishment they give. But I believe I was right sir, I believe I did my job, and I will not dishonor myself, my unit, or the Corps so I can go home in six months... Sir.",tt0104257,1992,"Drama,Thriller"
52,a few good men,Why does a Lieutenant Junior Grade with nine months' experience and a track record for plea bargaining get assigned to a murder case? Would it be so it never sees the inside of a courtroom?,tt0104257,1992,"Drama,Thriller"
53,a few good men,Is the colonel's underwear a matter of national security?,tt0104257,1992,"Drama,Thriller"
54,a few good men,"You see Danny, I can deal with the bullets, and the bombs, and the blood. I don't want money, and I don't want medals. What I do want is for you to stand there in that faggoty white uniform and with your Harvard mouth extend me some fucking courtesy. You gotta ask me nicely.",tt0104257,1992,"Drama,Thriller"
55,a few good men,"Take caution in your tone, Commander. I'm a fair guy, but this fucking heat is making me absolutely crazy.",tt0104257,1992,"Drama,Thriller"
56,a few good men,"Oh, spare me the psychobabble father bullshit.",tt0104257,1992,"Drama,Thriller"
57,a few good men,"Oh, hah, I'm sorry, I keep forgetting. You were sick the day they taught law at law school.",tt0104257,1992,"Drama,Thriller"
58,a few good men,So this is what a courtroom looks like.,tt0104257,1992,"Drama,Thriller"
59,a few good men,What do you wanna discuss now? My favorite color?,tt0104257,1992,"Drama,Thriller"
60,a few good men,"Oh, now I see what you're saying. It had to be Professor Plum in the library with the candlestick.",tt0104257,1992,"Drama,Thriller"
61,a few good men,"Maybe, if we work at it, we can get Dawson charged with the Kennedy assassination.",tt0104257,1992,"Drama,Thriller"
62,a few good men,Whatever happened to saluting an officer when he leaves the room?,tt0104257,1992,"Drama,Thriller"
63,a hard day's night,You don't know what this means to me. If you hadn't come back it would have meant... the epilogue or the news... in Welsh... for life!,tt0058182,1964,"Comedy,Musical"
64,a hard day's night,He's sex obsessed! The older generation's leading our nation in a state of galloping ruin!,tt0058182,1964,"Comedy,Musical"
65,a hard day's night,"God knows what you've unleashed on the unsuspecting South. It'll be wine, women, and song all the way with Ringo when he gets the taste for it.",tt0058182,1964,"Comedy,Musical"
66,a hard day's night,"He's very fussy about his drums, you know. They loom large in his legend.",tt0058182,1964,"Comedy,Musical"
67,a hard day's night,"Hey, you won't interfere with the basic rugged concept of me personality, will you madam?",tt0058182,1964,"Comedy,Musical"
68,a hard day's night,I'm going out parading before it's too late!,tt0058182,1964,"Comedy,Musical"
69,a hard day's night,"There you go, hiding behind a smokescreen of bourgeois cliches.",tt0058182,1964,"Comedy,Musical"
70,a hard day's night,"Sorry we hurt your field, mister.",tt0058182,1964,"Comedy,Musical"
71,a hard day's night,"Get me a bottle of milk and some tranquilizers. I see it all now, it's a plot... a plot...",tt0058182,1964,"Comedy,Musical"
72,a hard day's night,I now declare this bridge open!,tt0058182,1964,"Comedy,Musical"
73,a nightmare on elm street,"One, two, Freddy's coming for you. / Three, four, better lock your door. / Five, six, grab your crucifix. / Seven, eight, gonna stay up late. / Nine, ten, never sleep again.",tt0087800,1984,Horror
74,a nightmare on elm street,"I'm going to punch out your ugly lights, whoever you are!",tt0087800,1984,Horror
75,a nightmare on elm street,I don't know what's real anymore.,tt0087800,1984,Horror
76,a nightmare on elm street,Guys can have nightmares too ya know. Ya ain't got a corner on the market or somethin'.,tt0087800,1984,Horror
77,a nightmare on elm street,Maybe we're gonna have a big earthquake. They say things get really weird just before.,tt0087800,1984,Horror
78,a nightmare on elm street,"Tina, you either gotta cut your fingernails or ya gotta stop that kind of dreaming. One or the other.",tt0087800,1984,Horror
79,a nightmare on elm street,"Okay Krueger, we play in your court.",tt0087800,1984,Horror
80,a nightmare on elm street,"And now I lay me down to sleep, I pray the lord my soul to keep. And if I die before I wake, I pray the lord my soul to take.",tt0087800,1984,Horror
81,a nightmare on elm street,"Oh, God, I could be bounded in a nutshell, and count myself a king of infinite space, were it not that I have bad dreams.",tt0087800,1984,Horror
82,a nightmare on elm street,Whatever you do don't fall asleep.,tt0087800,1984,Horror
83,a nightmare on elm street,"I'm your boyfriend now, Nancy.",tt0087800,1984,Horror
84,a nightmare on elm street,"Oh, man. Midnight. Baseball bats and boogeymen. Beautiful.",tt0087800,1984,Horror
85,a nightmare on elm street,"I probably could have saved her if I'd have moved sooner. But I thought it was just another nightmare, like the one I had the night before. There was... there was this guy; he had knives for fingers.",tt0087800,1984,Horror
86,a nightmare on elm street,"Nancy, you dreamed about the same creep I did.",tt0087800,1984,Horror
87,a nightmare on elm street,"You gotta believe in something, right?  I'm gonna be here when you wake up. You're gonna make it.",tt0087800,1984,Horror
88,a nightmare on elm street 3: dream warriors,"Ain't gonna dream no more, no more. Ain't gonna dream no more. All night long I sing this song. Ain't gonna dream no more.",tt0093629,1987,"Fantasy,Horror"
89,a nightmare on elm street 3: dream warriors,"Do you like my body, Joey?",tt0093629,1987,"Fantasy,Horror"
90,a nightmare on elm street 3: dream warriors,"If your only faith is science, doctor, it may be you that's laid to rest.",tt0093629,1987,"Fantasy,Horror"
91,a nightmare on elm street 3: dream warriors,This is where he takes us.,tt0093629,1987,"Fantasy,Horror"
92,a nightmare on elm street 3: dream warriors,"Phillip, wake up... Have a nice stroll, asshole.",tt0093629,1987,"Fantasy,Horror"
93,a nightmare on elm street 3: dream warriors,Let's snuff the sucka.,tt0093629,1987,"Fantasy,Horror"
94,a nightmare on elm street 3: dream warriors,Hi. Welcome to the snake pit.,tt0093629,1987,"Fantasy,Horror"
95,a nightmare on elm street 3: dream warriors,In my dreams I can walk. My legs are strong. In my dreams I am the Wizard Master.,tt0093629,1987,"Fantasy,Horror"
96,a nightmare on elm street 3: dream warriors,"You stupid bitch, you're killing us... YOU'RE KILLING US.",tt0093629,1987,"Fantasy,Horror"
97,a nightmare on elm street 3: dream warriors,"It's now or never. I'm not gonna kid you, this is as dangerous as it gets. If you die in this dream it's for real. Nobody has to go in that doesn't want to.",tt0093629,1987,"Fantasy,Horror"
98,a nightmare on elm street 3: dream warriors,My God. You were his mother.,tt0093629,1987,"Fantasy,Horror"
99,a nightmare on elm street 4: the dream master,I wanna draw some blood!,tt0095742,1988,Horror
100,a nightmare on elm street 4: the dream master,"You can check in, but you can't check out.",tt0095742,1988,Horror
101,a nightmare on elm street 4: the dream master,"Welcome to Wonderland, Alice.",tt0095742,1988,Horror
102,a nightmare on elm street 4: the dream master,You shouldn't have buried me. I'm not dead.,tt0095742,1988,Horror
103,a nightmare on elm street 4: the dream master,"This ain't my dreamland. Kristen! If you're here, I'm gonna pound your ass!",tt0095742,1988,Horror
104,a nightmare on elm street 4: the dream master,A true warrior needs no eyes.,tt0095742,1988,Horror
105,a nightmare on elm street 4: the dream master,"If the food don't kill ya, the service will.",tt0095742,1988,Horror
106,a nightmare on elm street 4: the dream master,"Ninja warriors have calm.  Find your balance, Rick!",tt0095742,1988,Horror
107,a nightmare on elm street 4: the dream master,"You think you've got what it takes? I've been guarding my gate for a long time, bitch.",tt0095742,1988,Horror
108,a nightmare on elm street 4: the dream master,"Oh, hi, handsome. Care for some buns?",tt0095742,1988,Horror
109,a nightmare on elm street 4: the dream master,"All the towns in America, and I gotta move to The Bermuda Triangle. That's great.",tt0095742,1988,Horror
110,a nightmare on elm street 4: the dream master,Joey! Kincaid! Help me!,tt0095742,1988,Horror
111,a nightmare on elm street 4: the dream master,How sweet. Fresh meat.,tt0095742,1988,Horror
112,a nightmare on elm street 4: the dream master,How's this for a wet dream?,tt0095742,1988,Horror
113,a nightmare on elm street 4: the dream master,"All right, I'm gonna punch his ticket in.",tt0095742,1988,Horror
114,a nightmare on elm street part 2: freddy's revenge,"Go ahead, Jesse. Try it on for size.",tt0089686,1985,Horror
115,a nightmare on elm street part 2: freddy's revenge,Fight him. You are not afraid of him! He doesn't even exist!,tt0089686,1985,Horror
116,a nightmare on elm street part 2: freddy's revenge,He can't fight me. I'm him.,tt0089686,1985,Horror
117,a nightmare on elm street part 2: freddy's revenge,Then what is it? Bird rabies? It's that cheap seed you been buying.,tt0089686,1985,Horror
118,a nightmare on elm street part 2: freddy's revenge,"Schneider got wasted last night. He must have been working late. Some maniac sliced him up like a kielbasa, hacked him in the shower. Got bloody footprints all over the place.",tt0089686,1985,Horror
119,a nightmare on elm street part 2: freddy's revenge,"If you want to play with animals, Mr. Walsh, join the circus.",tt0089686,1985,Horror
120,a nightmare on elm street part 2: freddy's revenge,"Kill me, Lisa. Please kill me... I love you, Lisa.",tt0089686,1985,Horror
121,a nightmare on elm street part 2: freddy's revenge,"Wake up, little girl.",tt0089686,1985,Horror
122,a nightmare on elm street part 2: freddy's revenge,"Okay, I believe you. You've had some scary dreams okay?",tt0089686,1985,Horror
123,a nightmare on elm street part 2: freddy's revenge,Mommy? Why can't Jesse wake up like everybody else?,tt0089686,1985,Horror
124,a nightmare on elm street: the dream child,Why don't you shut up and let her talk? I mean two of us have died in the past two days. Does that just strike you as particularly normal?,tt0097981,1989,"Fantasy,Horror"
