,title,quote
0,10 things i hate about you,Who knocked up your sister?
1,10 things i hate about you,"I was watching you out there, before. I've never seen you look so sexy."
2,10 things i hate about you,"You're 18, you don't know what you want. And you won't know what you want 'til you're 45, and even if you get it, you'll be too old to use it."
3,10 things i hate about you,"Ooh, see that, there. Who needs affection when I have blind hatred?"
4,10 things i hate about you,"Just 'cause you're beautiful, that doesn't mean that you can treat people like they don't matter."
5,10 things i hate about you,You're asking me out? That's so cute! What's your name again?
6,10 things i hate about you,Leave it to you to use big words when you're smashed.
7,10 things i hate about you,And I'm BACK IN THE GAME!
8,10 things i hate about you,"I guess in this society, being male and an asshole makes you worthy of our time."
9,10 things i hate about you,"I have a dick on my face, don't I?"
10,10 things i hate about you,You embarrassed the girl. Sacrifice yourself on the alter of dignity and even the score.
11,10 things i hate about you,You're not as vile as I thought you were.
12,10 things i hate about you,It's not everyday you find a girl who'll flash someone to get you out of detention.
13,10 things i hate about you,Watching that bitch violate my car doesn't count as a date.
14,10 things i hate about you,Oh wait... was that... did your hairline just recede?
15,10 things i hate about you,"Remove head from sphincter, then drive!"
16,1492: conquest of paradise,"Of all the words my father wrote - and there were many - I remember these the most: ""Nothing that results from human progress is achieved with unanimous consent. And those who are enlightened before the others are condemned to persue that light in spite of others."""
17,15 minutes,I can kill you - I'm insane.
18,15 minutes,I love America. No one is responsible for what they do.
19,2001: a space odyssey,"Welcome to Voiceprint Identification. When you see the red light go on, would you please state in the following order: your destination, your nationality, and your full name; surname first, Christian name and initial."
20,8mm,"Starlight; star bright, first star I've seen tonight, I wish I may; I wish I might, Have this wish I wish tonight"
21,8mm,"Oh, he's a lover, man... definitely loves what he does for a living."
22,a bucket of blood,"I didn't mean to hurt you, Lou. But if you'd have shot me, you'd be moppin' up my blood now."
23,a bucket of blood,"Where are John, Joe, Jake, Jim, jerk? Dead, dead, dead! They were not born, before they were born, they were not born. Where are Leonardo, Rembrandt, Ludwig? Alive! Alive! Alive! They were born!"
24,a bucket of blood,"Walter has a clear mind. One day something will enter it, feel lonely... and leave again."
25,a bucket of blood,Ring rubber bells! Beat cotton gongs! Strike silken cymbals!
26,a clockwork orange,"One thing I could never stand was to see a filthy, dirty old drunkie, howling away at the filthy songs of his fathers and going blurp blurp in between as it might be a filthy old orchestra in his stinking, rotten guts. I could never stand to see anyone like that, whatever his age might be, but more especially when he was real old like this one was."
27,a clockwork orange,"She was very badly raped, you see! We were assaulted by a gang of vicious, young, hoodlums in this house! In this very room you are sitting in now! I was left a helpless cripple, but for her the agony was too great! The doctor said it was pneumonia; because it happened some months later! During a flu epidemic! The doctors told me it was pneumonia, but I knew what it was! A VICTIM OF THE MODERN AGE! Poor, poor girl!"
28,a clockwork orange,"I jumped, O my brothers, and I fell hard but I did not snuff it, oh no. if I had snuffed it, I would not be here to tell what I have told."
29,a clockwork orange,Appy-polly-loggies. I had something of a pain in the gulliver so had to sleep. I was not awakened when I gave orders for wakening.
30,a clockwork orange,Enjoying that are you my darlin'? Bit cold and pointless isn't it my lovely? What's happened to yours my little sister?
31,a clockwork orange,"I've suffered the tortures of the damned, sir  - tortures of the damned."
32,a clockwork orange,"Welly, welly, welly, welly, welly, welly, well. To what do I owe the extreme pleasure of this surprising visit?"
33,a clockwork orange,"Viddy well, little brother. Viddy well."
34,a clockwork orange,"Well, like he says, it's mostly odd things he does. Helping like... here and there as it might be."
35,a clockwork orange,Pick that up and put it down properly!
36,a clockwork orange,"Are you now, or have you ever been a homosexual?"
37,a clockwork orange,"What you got back home, little sister, to play your fuzzy warbles on? I bet you got little save pitiful, portable picnic players. Come with uncle and hear all proper! Hear angel trumpets and devil trombones. You are invited."
38,a clockwork orange,"Hi, hi, hi there! At last we meet. Our brief govoreet through the letter-hole was not, shall we say, satisfactory, yes?"
39,a clockwork orange,"As we walked along the flatblock marina, I was calm on the outside, but thinking all the time - Now it was to be Georgie the general, saying what we should do and what not to do, and Dim as his mindless greeding bulldog. But suddenly, I viddied that thinking was for the gloopy ones, and that the oomny ones use like, inspiration and what Bog sends. Now it was lovely music that came into my aid. There was a window open with the stereo on, and I viddied right at once what to do."
40,a clockwork orange,"It had been a wonderful evening and what I needed now, to give it the perfect ending, was a little of the Ludwig Van."
41,a clockwork orange,"I woke up. The pain and sickness all over me like an animal. Then I realized what it was. The music coming up from the floor was our old friend, Ludwig Van, and the dreaded Ninth Symphony."
42,a clockwork orange,"Shut your filthy hole, you scum!"
43,a clockwork orange,"Naughty, naughty, naughty! You filthy old soomka!"
44,a clockwork orange,"Excuse me, Mrs. Can you please help? There's been a terrible accident! My friend's in the middle of the road bleeding to death! Can I please use your telephone for an ambulance?"
45,a clockwork orange,Eggiwegs! I would like... to smash them!
46,a clockwork orange,"Ho, ho, ho! Well, if it isn't fat stinking billy goat Billy Boy in poison! How art thou, thou globby bottle of cheap, stinking chip oil? Come and get one in the yarbles, if ya have any yarbles, you eunuch jelly thou!"
47,a clockwork orange,"The Durango '95 purred away a real horrowshow - a nice, warm vibraty feeling all through your guttiwuts. And soon it was trees and dark, my brothers, with real country dark."
