,tipo_evento,nombre_evento,descripcion,direccion,lon,lat,contacto,accesibilidad,precio,fecha_inicio,fecha_fin,imagen_url,ciudad
0,Arte,Meet Vincent van Gogh: una experiencia inmersiva del Museo Van Gogh ,"Embárcate en un viaje inspirador al incomparable universo de Van Gogh, uno de los grandes genios del arte del siglo XIX. Explora su vida, obras y secretos como nunca antes.",Espacio Ibercaja Delicias - Paseo de las Delicias 61 (Madrid),-3.69015782933545,40.3978618396636,https://feverup.com/m/100122,Accesible para personas con movilidad reducida,"14,00 €",2021-07-28,2050-12-31,https://fever.imgix.net/plan/photo/0831cb1f-cf6d-11eb-9522-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
1,Candlelights, Candlelight Open Air: Bandas Sonoras Mágicas ,Vive una experiencia musical única durante este concierto tributo a cargo del Madrid Festival Quartet. Esta formación pone sobre el escenario algunas de las piezas más conocidas de tu infancia.,Teatro Goya,-3.72523724467774,40.4077617691131,https://feverup.com/m/96831,Recinto habilitado para personas en silla de ruedas,"15,00 €",2021-08-07,2021-08-07,https://fever.imgix.net/plan/photo/1211c7ea-87fd-11eb-b783-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
2,Candlelights, Candlelight Open Air: Tributo a Daft Punk a la luz de las velas ,¡Los mejores temas de Daft Punk! Laura Andrés y Roser Loscos interpretarán en el escenario los temas que han sido protagonistas en la carrera del dúo artístico francés.,"El Capricho, Teatro Goya",-3.72672722851611,40.4069250228937,https://feverup.com/m/97053,Recinto habilitado para personas en silla de ruedas,"25,00 €",2021-08-28,2021-08-28,https://fever.imgix.net/plan/photo/0aa036e0-8e1d-11eb-b783-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
3,Candlelights, Candlelight: El Cascanueces y ballet a la luz de las velas ,"Vive un auténtico homenaje a artistas clásicos en un espectáculo musical muy especial. Todo en una localización con una acústica inmejorable, la Sala Columnas del Círculo de Bellas Artes.","Círculo de Bellas Artes, Sala Columnas",-3.69638309864954,40.4185247203395,https://feverup.com/m/100404,Recinto habilitado para personas en silla de ruedas,"15,00 €",2021-09-09,2021-09-09,https://fever.imgix.net/plan/photo/ffbef88e-d434-11eb-9522-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
4,Candlelights," Candlelight: Verdi, La Traviata bajo la luz de las velas ","La Traviata, una de las óperas que más personas han visto a lo largo de la historia. Un concierto perfecto para acercarse a la ópera o para disfrutar la obra de nuevoen una atmósfera única.",Hotel Wellington,-3.68419254440423,40.4223164675846,https://feverup.com/m/101179,Recinto habilitado para personas en silla de ruedas,"15,00 €",2021-08-14,2021-08-14,https://fever.imgix.net/plan/photo/3070e2ba-e4bd-11eb-b329-cee460cbbb1a.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
5,Candlelights, Candlelight Jazz Open Air: Tributo a Nina Simone y más a la luz de las velas ,¡Revive a las leyendas del jazz! Vive una experiencia única durante un exclusivo concierto de temática jazz en un espectacular lugar al aire libre.¡Vivirás un momento irrepetible!,Teatro Goya,-3.72523724467774,40.4077617691131,https://feverup.com/m/100896,Recinto habilitado para personas en silla de ruedas,"25,00 €",2021-08-06,2021-08-06,https://fever.imgix.net/plan/photo/6ef77030-df18-11eb-b9f7-6a68b27be3f2.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
6,Candlelights," Candlelight: Bandas Sonoras, cuarteto de cuerda a la luz de las velas ","¡Disfruta de las mejores bandas sonoras del cine como nunca antes! Composiciones como las Jurassic Park, Harry Potter o El Señor de los Anillos en un ambiente inigualable.",Círculo de Bellas Artes - Sala Columnas,-3.69638309864954,40.4185002158225,https://feverup.com/m/100405,Recinto habilitado para personas en silla de ruedas,"15,00 €",2021-09-10,2021-09-10,https://fever.imgix.net/plan/photo/aa66c2cf-d437-11eb-9522-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
7,Candlelights," Candlelight: Verdi, La Traviata bajo la luz de las velas ","La Traviata, una de las óperas que más personas han visto a lo largo de la historia. Un concierto perfecto para acercarse a la ópera o para disfrutar la obra de nuevoen una atmósfera única.",Círculo de Bellas Artes - Sala Columnas,-3.69638309864954,40.4185002158225,https://feverup.com/m/97280,Recinto habilitado para personas en silla de ruedas,"17,00 €",2021-09-18,2021-09-18,https://fever.imgix.net/plan/photo/32e05ec6-96bc-11eb-b783-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
8,Candlelights, Candlelight: Las cuatro estaciones de Vivaldi a la luz de las velas ,"¡Las Cuatro Estaciones de Vivaldi, como nunca antes! El Cuarteto de cuerda Matrice interpretará sobre el escenario con una acústica inmejorable, la Sala Columnas del Círculo de Bellas Artes.",Círculo de Bellas Artes - Sala Columnas,-3.69638309864954,40.4185002158225,https://feverup.com/m/98160,Recinto habilitado para personas en silla de ruedas,"15,00 €",2021-09-03,2021-09-03,https://fever.imgix.net/plan/photo/8e120dda-adaf-11eb-9520-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
9,Candlelights, Candlelight Open Air: Morricone y otras bandas sonoras bajo la luz de las velas ,"¡Disfruta de las mejores bandas sonoras del cine como nunca antes! Composiciones como las Jurassic Park, Harry Potter o Star Wars en un ambiente inigualable.",Teatro Goya,-3.72523724467774,40.4077617691131,https://feverup.com/m/84521,Recinto habilitado para personas en silla de ruedas,"25,00 €",2021-07-28,2050-12-31,https://fever.imgix.net/plan/photo/629c34a6-c217-11eb-9522-06551cb39bc6.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
10,Outdoors, Corona Paradise: la experiencia interactiva más instagrameable del verano ,"Siente la arena en tus pies, sumérgete en las profundidades marinas, déjate envolver los sonidos de la naturaleza. Todo ello a través de un recorrido lleno de color, videomapping, luces y aromas.","Palacio de Santa Bárbara (Calle de Hortaleza, 87, Madrid)",-3.69703981214229,40.4264542170601,https://feverup.com/m/99411,"Al tratarse de un edificio antiguo, no cuenta con acceso ni instalaciones adaptadas","13,00 €",2021-08-01,2021-08-01,https://fever.imgix.net/plan/photo/06f1f91a-e959-11eb-8378-b6e037f1d5e5.jpg?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
11,Tributos, Tributos: Lo mejor de Queen al aire libre ,"Ven al Teatro Goya para disfrutar de una serie de conciertos tributo! En un hermoso espacio aire libre rodeado de naturaleza, en esta ocasión te sumergirás en un tributo sin precedentes a Queen.","El Capricho, Teatro Goya",-3.72672722851611,40.4069250228937,https://feverup.com/m/100938,Recinto habilitado para personas en silla de ruedas,"18,00 €",2021-09-10,2021-09-10,https://fever.imgix.net/plan/photo/a0647bf8-dfff-11eb-8172-1223b7202a60.png?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
12,Tributos, Tributos: lo mejor de The Beatles al aire libre ,"Ven al Teatro Goya para disfrutar de una serie de conciertos tributo! En un hermoso espacio aire libre rodeado de naturaleza, en esta ocasión te sumergirás en un tributo a Los Beatles.","El Capricho, Teatro Goya",-3.72672722851611,40.4069250228937,https://feverup.com/m/100936,Recinto habilitado para personas en silla de ruedas,"18,00 €",2021-09-03,2021-09-03,https://fever.imgix.net/plan/photo/c372d400-e004-11eb-bc84-4e4e4dc731a5.png?auto=compress&auto=format&fm=jpg&w=720&h=720,Madrid
