date,id,inds,acidez
24/10/2018,1,18.18,0.3
26/10/2018,2,14.74,0.4
26/10/2018,3,14.37,0.36
26/10/2018,4,12.24,0.37
26/10/2018,5,15.81,0.25
26/10/2018,6,15.81,0.25
26/10/2018,7,15.94,0.32
30/10/2018,9,16.15,0.29
30/10/2018,10,14.9,0.26
30/10/2018,11,13.39,0.38
30/10/2018,12,14.81,0.44
30/10/2018,13,14.15,0.34
30/10/2018,15,13.29,0.4
30/10/2018,16,12.79,0.37
30/10/2018,17,17.02,0.33
30/10/2018,18,17.02,0.33
30/10/2018,19,12.28,0.34
30/10/2018,20,13.32,0.36
30/10/2018,21,8.16,0.35
30/10/2018,22,16.19,0.35
30/10/2018,23,16.98,0.43
30/10/2018,24,15.96,0.34
31/10/2018,25,9.68,2.67
31/10/2018,26,14.31,0.35
31/10/2018,27,15.4,3.93
31/10/2018,28,11.02,0.36
31/10/2018,29,12.25,0.31
31/10/2018,30,10.57,0.28
31/10/2018,31,16.4,0.4
31/10/2018,32,15.68,0.5
31/10/2018,33,15.97,0.38
31/10/2018,34,13.68,0.38
31/10/2018,35,15.97,0.38
31/10/2018,36,13.98,0.38
31/10/2018,37,14.61,0.29
31/10/2018,38,14.29,0.39
31/10/2018,39,15.82,0.43
31/10/2018,40,10.56,0.35
31/10/2018,41,13.97,0.31
31/10/2018,42,12.44,0.32
02/11/2018,43,14.02,0.42
02/11/2018,44,14.56,2.42
02/11/2018,45,12.33,0.42
02/11/2018,46,12.4,0.33
02/11/2018,47,8.5,0.32
02/11/2018,48,12.59,0.32
05/11/2018,49,9.74,0.35
05/11/2018,50,12.04,0.34
05/11/2018,51,10.53,0.31
05/11/2018,52,10.63,0.34
05/11/2018,53,13.86,0.35
05/11/2018,54,10.43,0.34
05/11/2018,55,9.19,0.4
05/11/2018,56,10.7,0.39
05/11/2018,57,14.04,0.35
05/11/2018,58,14.59,0.34
05/11/2018,59,12.59,0.32
05/11/2018,60,15.14,0.4
05/11/2018,61,10.56,1.83
05/11/2018,62,14.14,0.34
05/11/2018,63,10.73,0.37
05/11/2018,64,12.54,0.36
05/11/2018,65,13.09,0.32
05/11/2018,66,13.11,0.29
05/11/2018,67,15.86,0.3
05/11/2018,68,15.09,0.33
05/11/2018,69,11.11,0.31
05/11/2018,70,13.02,0.41
05/11/2018,71,14.28,0.37
05/11/2018,72,10.53,0.45
05/11/2018,73,14.87,0.41
05/11/2018,74,14.02,0.38
05/11/2018,75,10.48,0.4
05/11/2018,76,6.88,0.36
05/11/2018,77,12.77,0.32
05/11/2018,78,12.77,0.32
05/11/2018,79,12.37,0.3
05/11/2018,80,11.76,0.34
05/11/2018,81,16.54,0.34
05/11/2018,82,15.94,0.34
05/11/2018,83,13.8,0.39
05/11/2018,84,15.73,0.32
05/11/2018,85,15.73,0.32
05/11/2018,86,10.82,0.4
05/11/2018,87,13.78,0.34
05/11/2018,88,12.39,0.34
05/11/2018,89,10.59,0.43
05/11/2018,90,9.14,0.55
05/11/2018,91,13.61,0.3
05/11/2018,92,12.84,0.27
05/11/2018,93,16.07,0.38
05/11/2018,94,12.88,0.33
05/11/2018,95,9.43,0.36
05/11/2018,96,12.36,0.29
05/11/2018,97,14.31,0.34
05/11/2018,98,16.19,0.31
05/11/2018,99,10.78,0.26
05/11/2018,100,11.28,0.43
05/11/2018,101,10.9,0.32
05/11/2018,102,16.45,0.36
05/11/2018,103,14.01,0.3
05/11/2018,104,15.63,0.31
05/11/2018,105,9.35,0.35
05/11/2018,106,11.26,0.3
05/11/2018,107,9.84,0.34
05/11/2018,108,13.38,0.3
05/11/2018,109,14.19,0.33
05/11/2018,110,12.97,0.32
06/11/2018,111,13.45,0.34
06/11/2018,112,16.39,0.35
06/11/2018,113,13.18,0.34
06/11/2018,114,13.83,0.36
06/11/2018,115,14.24,0.34
06/11/2018,116,9.73,0.36
06/11/2018,117,11.75,0.29
06/11/2018,118,11.14,0.3
06/11/2018,119,12.97,0.28
06/11/2018,120,11.39,0.32
06/11/2018,121,15.02,0.32
06/11/2018,122,13.57,0.3
07/11/2018,123,9.93,0.29
07/11/2018,124,14.76,1.31
07/11/2018,125,8.38,0.33
07/11/2018,126,12.8,0.34
07/11/2018,127,13.31,0.32
07/11/2018,128,14.08,0.3
07/11/2018,129,12.12,0.38
07/11/2018,130,13.65,0.31
07/11/2018,131,12.24,0.32
07/11/2018,132,10.31,0.35
07/11/2018,133,14.52,0.25
07/11/2018,134,13.1,0.21
07/11/2018,135,11.98,0.26
07/11/2018,136,15.41,0.32
07/11/2018,137,11.95,0.24
07/11/2018,138,16.18,0.25
07/11/2018,139,14.64,0.26
07/11/2018,140,9.99,0.28
08/11/2018,142,10.03,0.29
08/11/2018,143,13.11,0.37
08/11/2018,144,16.07,0.3
08/11/2018,145,12.83,0.23
08/11/2018,146,11.7,0.32
08/11/2018,147,12.81,0.24
08/11/2018,148,14.27,0.28
08/11/2018,149,12,0.35
08/11/2018,150,10.69,0.32
08/11/2018,151,10.12,0.31
08/11/2018,152,13.48,1.81
08/11/2018,153,7.85,0.31
08/11/2018,154,10.98,0.36
08/11/2018,155,11.52,0.32
08/11/2018,156,11.73,0.29
08/11/2018,157,15.05,0.29
08/11/2018,158,14.16,0.31
08/11/2018,159,12.54,0.3
08/11/2018,160,12.1,0.34
08/11/2018,161,12.57,0.3
08/11/2018,162,13.35,0.26
08/11/2018,163,12.32,0.29
08/11/2018,164,17.62,0.23
08/11/2018,165,15.28,0.27
08/11/2018,166,14.27,0.31
08/11/2018,167,10.65,0.26
08/11/2018,168,16.56,0.26
