,meta,response
code,200,
requestId,6099054f7530e05cf224daee,
suggestedFilters,,"{'header': 'Tap to show:', 'filters': [{'name': 'Open now', 'key': 'openNow'}]}"
suggestedRadius,,642
headerLocation,,Chueca
headerFullLocation,,"Chueca, Madrid"
headerLocationGranularity,,neighborhood
query,,food
totalResults,,204
suggestedBounds,,"{'ne': {'lat': 40.42757324545612, 'lng': -3.6843459186013936}, 'sw': {'lat': 40.4176272201219, 'lng': -3.6992759693953072}}"
