,Título,Nota,Votos,Título original,Año,Duración,País,Dirección,Guion,Música,Fotografía,Reparto,Productora,Género,Grupos,Sinopsis,
0,Spiral: Saw,"4,9",39,Spiral: From the Book of Saw,2021,93 min., Estados Unidos,Darren Lynn Bousman,"Josh Stolberg, Pete Goldfinger. Historia: Pete Goldfinger, Chris Rock, Josh Stolberg",Charlie Clouser,Jordan Oram,"Chris Rock, Samuel L. Jackson, Max Minghella, Marisol Nichols, Zoie Palmer, Nazneen Contractor, Dan Petronijevic, Morgan David Jones, Edie Inksetter, K.C. Collins, Josh Stolberg, Ali Johnson, Brian Cook, ver 6 más","Serendipity Productions, Twisted Pictures, Burg/Koules Productions, Dahlstar. Distribuidora: Lionsgate",Terror. Thriller | Policíaco. Crimen. Asesinos en serie,Saw,"Trabajando a la sombra de un policía veterano (Samuel L. Jackson), el intrépido detective Ezekiel “Zeke” Banks (Chris Rock) y su compañero novato (Max Minghella) toman las riendas de una investigación relacionada con una serie de asesinatos que albergan ciertos paralelismos con el sangriento pasado de la ciudad. A medida que profundiza en el misterio, Zeke descubre que él mismo se ha convertido en el epicentro del macabro juego del asesino. (FILMAFFINITY)

Reinicio de la franquicia ""Saw"".

Estreno mundial: mayo 2021.",
0,Poliamor para principiantes,"4,4",26,Poliamor para principiantes,2021,97 min., España,Fernando Colomo,"Fernando Colomo, Casandra Macías Gago, Marina Maesso",Fernando Furones,Ángel Iguacel,"Karra Elejalde, Toni Acosta, Quim Àvila Conde, María Pedraza, Luis Bermejo, Cristina Gallego, Inma Cuevas, Lola Rodríguez, Susi Caramelo, Mery Cabezuelo, Patricia Peñalver","Coproducción España-Francia; Morena Films, Ran Entertainment, Amazon Prime Video",Comedia. Romance | Comedia romántica,,"Satur (Karra Elejalde) y Tina (Toni Acosta) son un matrimonio en el que ella aporta el dinero y él se ocupa de la casa y el niño. El problema es que el niño, Manu (Quim Ávila), tiene ya 28 años y es un mediocre youtuber. Satur convertirá a su hijo en “El ranger del amor”, un exitoso youtuber enmascarado defensor del amor romántico que se enamora perdidamente de Amanda (María Pedraza). Lo que Manu no sabe es que Amanda es poliamorosa y tiene relaciones con Marta (Cristina Gallego) y Esteban (Luis Bermejo), una acomodada pareja de médicos con dos hijos, y también con Claudia (Lola Rodríguez), una chica trans que trabaja en el mundo de la moda, y con Alex (Eduardo Rosa), monitor de paracaidismo y modelo cachas.",
0,Érase una vez en Queens,,,Boogie,2021,89 min., Estados Unidos,Eddie Huang,Eddie Huang,"Ali Shaheed Muhammad, Adrian Younge",Brett Jutkiewicz,"Taylor Takahashi, Domenick Lombardozzi, Taylour Paige, Jorge Lendeborg Jr., Perry Yung, Mike Moh, Steve Coulter, Pamelyn Chee, Dave East, Pop Smoke, John Orantes, Sam Jules, Margaret Odette, Ben Davis, Mister Fitzgerald","Immersive Pictures, Wink Productions. Distribuidora: Focus Features",Drama | Baloncesto. Inmigración,,"En la Nueva York contemporánea, un joven fenómeno del baloncesto chino-estadounidense lucha por equilibrar las expectativas de su familia inmigrante con sus propios sueños de convertirse en un jugador de la NBA.",
0,First Cow,"6,9",1.396,First Cow,2019,121 min., Estados Unidos,Kelly Reichardt,"Jonathan Raymond, Kelly Reichardt. Novela: Jonathan Raymond",William Tyler,Christopher Blauvelt,"John Magaro, Orion Lee, Toby Jones, Ewen Bremner, Scott Shepherd, Gary Farmer, Lily Gladstone, Alia Shawkat, John Keating, Dylan Smith, Jared Kasowski, Rene Auberjonois, Todd A. Robinson, ver 5 más","Film Science, A24, IAC Films. Distribuidora: A24",Drama. Western | Siglo XIX. Amistad,,"Narra la historia de un cocinero (John Magaro) contratado por una expedición de cazadores de pieles, en el estado de Oregón, en la década de 1820. También la de un misterioso inmigrante chino (Orion Lee) que huye de unos hombres que le persiguen, y de la creciente amistad entre ambos en un territorio hostil. (FILMAFFINITY)",
0,Mía y Moi,"6,0",67,Mía y Moi,2021,, España,Borja de la Vega,Borja de la Vega,,Álvaro Ruiz,"Bruna Cusí, Ricardo Gómez, Eneko Sagardoy, Joe Manjón, Raquel Espada","Paciencia y Baraja, Toned Media",Drama,,"Tras perder a su madre, Mía y Moi se refugian en una destartalada casa familiar, en el campo, en mitad de la nada. Con ellos, Biel, el novio de Moi. Juntos los tres, tratan de descansar y sanar las heridas. Sobre todo en el caso de Moi, que se recupera de una fuerte crisis nerviosa. Son días de recuperar recuerdos familiares, algunos dolorosos, de reencontrarse, de vivir sin prisa. La llegada de Mikel, el novio de Mía, alterará la convivencia y perturbará de distinta manera a cada uno de los habitantes de la casa. La tensión va creciendo hasta que estalla en un acto de consecuencias irreversibles.",
0,Pequeño país,"6,4",30,Petit pays aka,2020,111 min., Francia,Eric Barbier,Eric Barbier. Novela: Gaël Faye,Renaud Barbier,Antoine Sanier,"Jean-Paul Rouve, Djibril Vancoppenolle, Dayla De Medina","Coproducción Francia-Bélgica; Jerico, Super 8 Production, Pathé, France 2 Cinema, Scope Pictures, Petit Pays Film, Canal+, Ciné+, France Télévisions, SofiTVciné 7, ver 6 más",Drama,,"Gabriel tiene 10 años y vive en un cómodo vecindario de expatriados en Burundi, su ""pequeño país"". Gabriel es un niño normal, feliz y despreocupado, que vive aventuras cotidianas con sus amigos y su hermana pequeña. De repente, en 1993, las tensiones en el país vecino, Ruanda, estallaron, poniendo en peligro tanto a su familia como a su inocencia.",
0,Sweat,"6,5",44,Sweat,2020,100 min., Polonia,Magnus von Horn,Magnus von Horn,Piotr Kurek,Michal Dymek,"Magdalena Kolesnik, Julian Swiezewski, Aleksandra Konieczna, Zbigniew Bielawski, Lech Lotocki, Magdalena Kuta, Wiktoria Filus, Katarzyna Cynke, Mateusz Król, Andrzej Soltysik, Karolina Krawczynska, Diana Krupa, Adrian Budakow, Karolina Bialek","Coproducción Polonia-Suecia; Lava Films, Zentropa International Sweden, Film I Väst, Canal+ Polska, EC1 Lódz - Miasto Kultury, Opus Film, DI Factory, Polski Instytut Sztuki Filmowej, Svenska Filminstitutet",Drama | Internet/Informática,,"Describe tres días en la vida de la motivadora de fitness Sylwia Zając, una celebridad en las redes sociales con cientos de miles de followers. Aunque tiene tantos seguidores, está rodeada de empleados fieles y es admirada por sus conocidos, ella busca una intimidad verdadera. (FILMAFFINITY)",
0,Félix y el tesoro de Morgäa,,,Félix et le trésor de Morgäa aka,2021,90 min., Canadá,Nicola Lemay,Marc Robitaille,,Animación,"Animación, Gabriel Lessard, Guy Nadon, Marc Labreche, Antoine Durand, Tristan Harvey, Èveline Gélinas, Catherine Proulx-Lemay, Frédéric Desager, Louis Lacombe",10e Ave,Animación. Aventuras | Adolescencia,,"Félix es un niño de 12 años que está convencido de que su padre, desaparecido en el mar hace dos años, sigue con vida. Un día decide salir en su búsqueda acompañado por Tom, un marinero retirado; Squak, un loro pirata; y Rover, un gato que se comporta como un perro. Su aventura les lleva hasta la isla de Darkshadow, donde encuentran una ciudad subterránea secreta en la que reina Morgäa, una tirana que guarda un increíble secreto. (FILMAFFINITY)",
0,El viaje de Chihiro,"8,1",109.289,Sen to Chihiro no kamikakushi aka,2001,124 min., Japón,Hayao Miyazaki,Hayao Miyazaki,Joe Hisaishi,"Animación, Atsushi Okui",Animación,"Studio Ghibli, Tokuma Shoten, Dentsu Inc. Distribuidora: Toho",Animación. Fantástico. Aventuras | Dragones. Película de culto,Studio Ghibli (y obras relacionadas),"Chihiro es una niña de diez años que viaja en coche con sus padres. Después de atravesar un túnel, llegan a un mundo fantástico, en el que no hay lugar para los seres humanos, sólo para los dioses de primera y segunda clase. Cuando descubre que sus padres han sido convertidos en cerdos, Chihiro se siente muy sola y asustada. (FILMAFFINITY)",
0,Cascarrabias,,,Here Comes the Grump (Ahí viene Cascarrabias),2018,97 min., México,Andrés Couturier,"Jim Hecht, Piers Clifton, Ricardo Hernández Durón, Alicia Núñez Puerto",James Seymour Brett,Animación,Animación,"Coproducción México-Estados Unidos; Anima Estudios, Prime Focus World",Animación. Aventuras. Comedia. Fantástico. Infantil,,"Pasar las vacaciones de verano en el increíble parque de atracciones de la abuela Mary ha sido una experiencia muy emocionante para un niño modesto como Terry. Con la ayuda de su entusiasta imaginación, Terry podría soñar con visitar tierras encantadas inventadas, personajes psicodélicos, árboles andantes, globos parlantes, orquídeas susurrantes y dragones torpes… Pero ahora su abuela se ha ido y el parque está a punto de cerrar para siempre. Cuando Terry, aferrado a los recuerdos del pasado, se encuentra desesperadamente infeliz, una pequeña cosa llamada destino interviene. En una de las viejas atracciones del parque de Mary quedó un poco de magia, la cual le hará llegar a una asombrosa y divertida tierra de fantasía, donde conocerá al mago Cascarrabias que, desde luego, no es tan feliz ni tan dicharachero como su abuela le contaba en sus viejas historias. El villano Cascarrabias ha lanzado un maleficio de tristeza sobre la tierra de Castilloalegre y ahora las sonrisas y los chistes son cosa del pasado. ¿Podrá Terry enfrentarse a las extrañas criaturas de este nuevo reino, deshacer el embrujo y volver a casa?",
