;Comunidad Autónoma;Todas las causas
0;Andalucía;0.8122728683412257
1;Aragón;1.0262778300407651
2;Asturias, Principado de;1.2245784081954294
3;Baleares;0.7096363773243995
4;Canarias;0.6763488455556884
5;Cantabria;0.9855450913242008
6;Castilla - La Mancha;0.9061908613020624
7;Castilla y León;1.1200427150770873
8;Cataluña;0.8370430608055814
9;País Vasco;0.9361852463423064
10;Extremadura;1.0119216945782672
11;Galicia;1.1200212668995901
12;Rioja, La;0.9318193820966464
13;Comunidad de Madrid;0.6781494420690375
14;Región de Murcia;0.7277078085642317
15;NACIONAL;0.8622562488999995
16;Comunidad Foral de Navarra;0.854752201919285
17;Comunitat Valenciana;0.8454212084510834
