Cast;Country;Country - Split 1;Country - Split 2;Date Added;Date Added (copy);Date Added (group);Description;Director;Duration;Genre;Genre_Color;Listed In;Listed In - Split 2;Rating;Release Year;Release Year (group);Show Id;Title;Type;1;Count_Country;Count_Title
João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi;Brazil;Brazil;;14/08/2020;14/08/2020;2020-08-14;In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.;;4 Seasons;International;A;International TV Shows, TV Dramas, TV Sci-Fi & Fantasy;TV;TV-MA;2020;2020's;s1;3%;TV Show;100;1;1
Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato;Mexico;Mexico;;23/12/2016;23/12/2016;2016-12-23;After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.;Jorge Michel Grau;93 min;Dramas;A;Dramas, International Movies;International;TV-MA;2016;2010's;s2;7:19;Movie;100;1;1
Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim;Singapore;Singapore;;20/12/2018;20/12/2018;2018-12-20;When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.;Gilbert Chan;78 min;Horror;A;Horror Movies, International Movies;Movies,;R;2011;2010's;s3;23:59;Movie;100;1;1
Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane;United States;United States;;16/11/2017;16/11/2017;2017-11-16;In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.;Shane Acker;80 min;Action;A;Action & Adventure, Independent Movies, Sci-Fi & Fantasy;&;PG-13;2009;2000's;s4;9;Movie;100;1;1
Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin;United States;United States;;01/01/2020;01/01/2020;2020-01-01;A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.;Robert Luketic;123 min;Dramas;A;Dramas;;PG-13;2008;2000's;s5;21;Movie;100;1;1
Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu;Turkey;Turkey;;01/07/2017;01/07/2017;2017-07-01;A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.;Serdar Akar;1 Season;International;A;International TV Shows, TV Dramas, TV Mysteries;TV;TV-MA;2016;2010's;s6;46;TV Show;100;1;1
Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad;Egypt;Egypt;;01/06/2020;01/06/2020;2020-06-01;After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.;Yasir Al Yasiri;95 min;Horror;A;Horror Movies, International Movies;Movies,;TV-MA;2019;2010's;s7;122;Movie;100;1;1
Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana;United States;United States;;01/11/2019;01/11/2019;2019-11-01;After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.;Kevin Reynolds;119 min;Dramas;A;Dramas;;R;1997;1990's;s8;187;Movie;100;1;1
Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak;India;India;;01/04/2019;01/04/2019;2019-04-01;When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.;Shravan Kumar;118 min;Horror;A;Horror Movies, International Movies;Movies,;TV-14;2019;2010's;s9;706;Movie;100;1;1
Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas;India;India;;15/12/2017;15/12/2017;2017-12-15;An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.;Vikram Bhatt;143 min;Horror;A;Horror Movies, International Movies, Thrillers;Movies,;TV-MA;2008;2000's;s10;1920;Movie;100;1;1
